"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Alforsite","Ba_5_(PO_4_)_3_Cl","Ba_5_(PO_4_)_3_Cl","Ba P O Cl","IMA1980-039","R070356","827","USA","1980","Approved","Apatite","apatite","Newberry N G, Essene E J, Peacor D R (1981) Alforsite, a new member of the apatite group: the barium analogue of chlorapatite, American Mineralogist 66, 1050-1053","hexagonal","542","Ba P O Cl","Afr"
"Aliettite","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O","Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O","Ca Mg Si Al O H","","","829","Italy","1968","Approved|Redefined","Corrensite, Clay","smectite","Veniale F, van der Marel H W (1969) Identification of some 1:1 regular interstratified trioctahedral clay minerals, Proceedings of the International Clay Conference, Tokyo 1, 233-244

Redefined:
Bailey S W (1981) A system of nomenclature for regular interstratifications, The Canadian Mineralogist 19, 651-655","","381.5","Ca Mg Si Al O H","Ali"
"Allantoin","C_4_H_6_N_4_O_3_","C_4_H_6_N_4_O_3_","C H N O","IMA2020-004a","","7042","USA","2020","Approved"," "," ","Kampf A R, Celestian A J, Nash B P, Marty J (2021) Allantoin and natrosulfatourea, two new bat-guano minerals from the Rowley mine, Maricopa County, Arizona, USA. The Canadian Mineralogist 59, 603-616","","","C H N O","Aan"
"Allophane","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O","Al O Si H","","R070188 R120001","837","Germany","1816","Grandfathered|Approved","Allophane","kaolinite-serpentine-serpentine subgroup","Hausmann J F L, Stromeyer F (1816) Report at the Royal Academy of Sciences Göttingen meeting 13 July, 1816 on silberkupferglanz and allophan, Göttingische Gelehrte Anzeigen 2, 1249-1253","","4000","Al O Si H","Alp"
"Alterite","Zn^2+^_2_Fe^3+^_4_(S^6+^O_4_)_4_((C_2_)^6+^O_4_)_2_(OH)_4_·17H_2_O","Zn_2_Fe^3+^_4_(SO_4_)_4_(C_2_O_4_)_2_(OH)_4_·17H_2_O","Zn Fe S O C H","IMA2018-070","R180005","6741","USA","2018","Pending publication|Approved","Alterite, Oxalate"," ","Yang, H., Gibbs, R.B., Evans, S.H., Downs, R.T. and Jabrin, Z. (2018) Alterite, IMA 2018-070. CNMNC Newsletter No. 45, October 2018, page xxx; Mineralogical Magazine, 82, xxx-xxx","monoclinic","","Zn^2+ Fe^3+ S^6+ O C H","Atr"
"Aluminite","Al_2_S^6+^O_4_(OH)_4_·7H_2_O","Al_2_(SO_4_)(OH)_4_·7H_2_O","Al S O H","","R060691","847","Germany","1805","Grandfathered|Approved","Aluminite"," ","Haberle C C (1805) IV. Flóz- Trapp- Gebirgsarten, in Beitráge zu einer allgemeinen Einleitung in das Studium der Mineralogie, Berlage des Landes - Industrie - Comptoirs (Weimar) 262, 335","monoclinic","3110","Al S^6+ O H","A"
"Aluminocopiapite","(Al,Mg)Fe^3+^_4_(S^6+^O_4_)_6_(OH,O)_2_·20H_2_O","(Al,Mg)Fe^3+^_4_(SO_4_)_6_(OH,O)_2_·20H_2_O","Al Mg Fe S O H","","","851","USA","1947","Grandfathered|Approved","Copiapite","copiapite","Berry L G (1947) Composition and optics of copiapite, University of Toronto Studies: VI. Geological Series 51, 21-34","triclinic","470","Al Mg Fe^3+ S^6+ O H","Acpi"
"Alum-(K)","KAl(S^6+^O_4_)_2_·12H_2_O","KAl(SO_4_)_2_·12H_2_O","K Al S O H","IMA2007 s.p.","R040134 R060014 R060528","3698","Italy ?","1951","Approved|Renamed","Alum","alum","Pliny (77) Book XXXV, Chapter 52. Alumen, and the several varieties of it; thirty-eight remedies, in The Natural History of Pliny

Potassium species distinguished:
Palache C, Berman H, Frondel C (1951) 29.5.5.1 Potash alum [KAl(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O], in The System of Mineralogy, Volume II, Seventh Edition, John Wiley and Sons, Inc (New York) 472-474

Name changed from potassium alum:
Burke E A J (2008) Tidying up mineral names: an IMA-CNMNC scheme for suffixes, hyphens and diacritical marks, The Mineralogical Record 39, 131-135","cubic","3110","K Al S^6+ O H","Aum-K"
"Alum-(Na)","NaAl(S^6+^O_4_)_2_·12H_2_O","NaAl(SO_4_)_2_·12H_2_O","Na Al S O H","IMA2007 s.p","R110204","4130","?","1951","Approved|Renamed","Alum","alum","Pliny (77) Book XXXV, Chapter 52. Alumen, and the several varieties of it; thirty-eight remedies, in The Natural History of Pliny

Sodium species distinguished:
Palache C, Berman H, Frondel C (1951) 29.5.5.2 Soda alum [NaAl(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O], in The System of Mineralogy, Volume II, Seventh Edition, John Wiley and Sons, Inc (New York) 474-474

Name changed from soda alum:
Burke E A J (2008) Tidying up mineral names: an IMA-CNMNC scheme for suffixes, hyphens and diacritical marks, The Mineralogical Record 39, 131-135","cubic","35.7","Na Al S^6+ O H","Aum-Na"
"Alunite","KAl_3_(S^6+^O_4_)_2_(OH)_6_","KAl_3_(SO_4_)_2_(OH)_6_","K Al S O H","","R060430 R070448","860","Italy / Ukraine","1565","Approved|Redefined","Alunite-Alunite","alunite-jarosite-alunite subgroup","Originally called alumen de Tolpha:
Gesner C (1565) Alumen, in De omni rerum fossilium genere, gemmis, lapidibus, metallis, et huiusmodi, libri aliquot, plerique nunc primum editi, Excudebat Iacobus Gesnerus 11-13

The mineral was named alunite in this publication:
Beudant F S (1824) 22e espèce. Alunite., in Traité Élémentaire de Minéralogie, Chez Verdière, Libraire (Paris) 449-450","hexagonal","3200","K Al S^6+ O H","Alu"
"Alunogen","Al_2_(S^6+^O_4_)_3_(H_2_O)_12_·5H_2_O","Al_2_(SO_4_)_3_(H_2_O)_12_·5H_2_O","Al S O H","","R060015 R070601","861","?","1832","Grandfathered|Approved","Not in a structural group"," ","Beudant F S (1832) Alunogène, sulfate d’alumine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 488-492","triclinic","2500","Al S^6+ O H","Alg"
"Ambrinoite","[K,(N^3-^H_4_)]_2_(As^3+^,Sb^3+^)_6_(Sb^3+^,As^3+^)_2_S^2-^_13_·H_2_O","[K,(NH_4_)]_2_(As,Sb)_6_(Sb,As)_2_S_13_·H_2_O","K N H As Sb S O","IMA2009-071","","5801","Italy","2009","Approved","Not in a structural group"," ","Biagioni C, Bonaccorsi E, Pasero M, Moëlo Y, Ciriotti M E, Bersani D, Callegari A M, Boiocchi M (2011) Ambrinoite, (K,NH<sub>4</sub>)<sub>2</sub>(As,Sb)<sub>8</sub>S<sub>13</sub>·H<sub>2</sub>O, a new mineral from Upper Susa Valley, Piedmont, Italy: The first natural (K,NH4)-hydrated sulfosalt, American Mineralogist 96, 878-887","triclinic","","K N^3- H As^3+ Sb^3+ S^2- O","Amb"
"Ammineite","Cu^2+^Cl_2_(N^3-^H_3_)_2_","CuCl_2_·2NH_3_","Cu Cl N H","IMA2008-032","R120154 R120155","5692","Chile","2008","Approved","Not in a structural group"," ","Bojar H P, Walter F, Baumgartner J, Färber G (2010) Ammineite, CuCl<sub>2</sub>(NH<sub>3</sub>)<sub>2</sub>, a new species containing an ammine complex: Mineral data and crystal structure, The Canadian Mineralogist 48, 1359-1371","orthorhombic","3.3","Cu^2+ Cl N^3- H","Amm"
"Ammonioalunite","N^3-^H_4_Al_3_(S^6+^O_4_)_2_(OH)_6_","(NH_4_)Al_3_(SO_4_)_2_(OH)_6_","N H Al S O","IMA1986-037","R060873","871","USA","1986","Approved","Alunite-Alunite","alunite-jarosite-alunite subgroup","Altaner S P, Fitzpatrick J J, Krohn M D, Bethke P M, Hayba D O, Goss J A, Brown Z A (1988) Ammonium in alunites, American Mineralogist 73, 145-152","hexagonal","298.9","N^3- H Al S^6+ O","Aalu"
"Ammoniojarosite","N^3-^H_4_Fe^3+^_3_(S^6+^O_4_)_2_(OH)_6_","(NH_4_)Fe^3+^_3_(SO_4_)_2_(OH)_6_","N H Fe S O","","R060408","873","USA","1927","Approved|Redefined","Alunite-Alunite","alunite-jarosite-jarosite subgroup","Shannon E V (1927) Ammoniojarosite, a new mineral of the jarosite group of Utah, American Mineralogist 12, 424-426

Reclassified:
Scott K M (1987) Solid solution in, and classification of, gossan-derived members of the alunite-jarosite family, northwest Queensland, Australia, American Mineralogist 72, 178-187","hexagonal","1000","N^3- H Fe^3+ S^6+ O","Ajrs"
"Ammoniomathesiusite","(N^3-^H_4_)_5_(U^6+^O_2_)_4_(S^6+^O_4_)_4_(V^5+^O_5_)·4H_2_O","(NH_4_)_5_(UO_2_)_4_(SO_4_)_4_(VO_5_)·4H_2_O","N H U O S V","IMA2017-077","R200003","6708","USA","2017","Approved","Mathesiusite"," ","Kampf A R, Plášil J, Nash B P, Marty J (2019) Ammoniomathesiusite, a new uranyl sulfate-vanadate mineral from the Burro mine, San Miguel County, Colorado, USA. Mineralogical Magazine 83, 115-121","tetragonal","","N^3- H U^6+ O S^6+ V^5+","Amat"
"Ammoniozippeite","(N^3-^H_4_)_2_[(U^6+^O_2_)_2_(S^6+^O_4_)O_2_]·H_2_O","(NH_4_)_2_[(UO_2_)_2_(SO_4_)O_2_]·H_2_O","N H U O S","IMA2017-073","","6705","USA","2017","Approved","Zippeite"," ","Kampf A R, Plášil J, Olds T A, Nash B P, Marty J (2018) Ammoniozippeite, a new uranyl sulfate mineral from the Blue Lizard mine, San Juan County, Utah, and the Burro mine, San Miguel County, Colorado, USA. The Canadian Mineralogist 56, 235-245","orthorhombic","252","N^3- H U^6+ O S^6+","Azip"
"Anapaite","Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O","Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O","Ca Fe P O H","","R050510 R141081","878","Russia","1902","Grandfathered|Approved","Not in a structural group"," ","Sachs A (1902) Über anapait, ein neues kalkeisenphosphat von Anapa am Schwarzen Meere, Sitzungsberichte der Königlich Preussischen Akademie der Wissenschaften 1902, 18-21","triclinic","390","Ca Fe^2+ P O H","Anp"
"Anatase","Ti^4+^O_2_","TiO_2_","Ti O","","R060277 R070582 R120013 R120064","879","France","1801","Approved","Not in a structural group"," ","Haüy R J (1801) Anatase, Traité de Minéralogie 3, 129-136","tetragonal","3074","Ti^4+ O","Ant"
"Andradite","Ca_3_Fe^3+^_2_(SiO_4_)_3_","Ca_3_Fe^3+^_2_(SiO_4_)_3_","Ca Fe Si O","","R040001 R050256 R050311 R050377 R060358 R060350 R060326 R060423 R060449 R070722 R100049 R100138 R120004","885","Norway","1868","Grandfathered|Approved","Garnet","garnet","Dana J D, Brush G J (1868) E. Lime-Irongarnet; Andradite, in A System of Mineralogy, Fifth Edition, John Wiley and Sons (New York) 268-270","cubic|triclinic","4568.5","Ca Fe^3+ Si O","Adr"
"Anglesite","Pb^2+^S^6+^O_4_","Pb(SO_4_)","Pb S O","","R040004 R050052 R050408","891","United Kingdom","1832","Grandfathered|Approved","Baryte","celestine","Beudant F S (1832) Anglesite, plomb sulfaté, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 459-460","orthorhombic","4000","Pb^2+ S^6+ O","Ang"
"Anhydrite","CaS^6+^O_4_","Ca(SO_4_)","Ca S O","","R040012 R040061 R061102","892","Austria","1794","Grandfathered|Approved","Not in a structural group"," ","Ludwig C F (1804) A. G. Werners Mineral - System, Erste Klasse Erdige Fossilien, VI. Kalk - Geschlecht, in Handbuch der Mineralogie nach A. G. Werner Volume 2, Siegfried Lebrecht Crusius (Leipzig) 209-212","orthorhombic","2816","Ca S^6+ O","Anh"
"Ankerite","CaFe^2+^(CO_3_)_2_","Ca(Fe^2+^,Mg)(CO_3_)_2_","Ca Fe Mg C O","","R050181 R050197","895","Austria","1825","Grandfathered|Approved","Dolomite","dolomite","Mineral is named:
Mohs F (1825) Characters of the genera and species of the orders of class II. I. Order. Haloide. V. Lime-haloide. 4. Paratomous. Ankerite, in Treatise on Mineralogy Vol I, translated by Haidinger, Archibald and Co. (Edinburgh) 411-411

Mineral is described:
Mohs F (1825) Paratomous lime-haloide, in Treatise on Mineralogy Vol II, translated by Haidinger, Archibald and Co. (Edinburgh) 100-101","hexagonal","4000","Ca Fe^2+ C O","Ank"
"Anorthite","CaAl_2_Si_2_O_8_","Ca(Al_2_Si_2_O_8_)","Ca Al Si O","","R040059 R050104 R060082 R060193 R060221 R060275 R070510 R070598 R100170 R130296 R190029","898","Italy","1823","Grandfathered|Approved","Feldspar","feldspar","Rose G (1823) Ueber den Feldspath, Albit, Labrador und Anorthit, Annalen der Physik und der Physikalischen Chemie 73, 173-208","triclinic|unknown","4700","Ca Al Si O","An"
"Anorthominasragrite","V^4+^O(S^6+^O_4_)·5H_2_O","V^4+^O(SO_4_)·5H_2_O","V O S H","IMA2001-040","","4970","USA","2001","Approved","Minasragrite"," ","Cooper M A, Hawthorne F C, Grice J D, Haynes P (2003) Anorthominasragrite, V<sup>4+</sup>O (SO<sub>4</sub>) (H<sub>2</sub>O)<sub>5</sub>, a new mineral species from Temple Mountain, Emery County, Utah, U.S.A.: Description, crystal structure and hydrogen bonding, The Canadian Mineralogist 41, 959-979","triclinic","117","V^4+ O S^6+ H","Amrg"
"Antarcticite","CaCl_2_·6H_2_O","CaCl_2_·6H_2_O","Ca Cl H O","IMA1965-015","","900","Antarctica","1965","Approved","Not in a structural group"," ","Torii T, Ossaka J (1965) Antarcticite: A new mineral, calcium chloride hexahydrate, discovered in Antarctica, Science 149, 975-977","hexagonal","1565","Ca Cl H O","Atc"
"Antimonselite","Sb^3+^_2_Se^2-^_3_","Sb_2_Se_3_","Sb Se","IMA1992-003","","906","China","1992","Approved","Stibnite","stibnite","Chen L, Zhang Q, Li D, Wang G (1993) Antimonselite - a new mineral, Acta Mineralogica Sinica 13, 7-11","orthorhombic","443","Sb^3+ Se^2-","Atm"
"Antimony","Sb","Sb","Sb","","R050654 R070318","907","Sweden","1748","Grandfathered|Approved","Arsenic","arsenic","Swab A (1748) Berattelse om en nativ regulus antimonii, eller spets glas-kung, Kong. Svenska Vetenskaps-Akademiens Handlingar 9, 99-106","hexagonal|cubic, tetragonal, trigonal","3640","Sb","Sb"
"Antipinite","KNa_3_Cu^2+^_2_((C_2_)^6+^O_4_)_4_","KNa_3_Cu_2_(C_2_O_4_)_4_","K Na Cu C O","IMA2014-027","R160005","6323","Chile","2014","Approved","Not in a structural group, Oxalate"," ","Chukanov N V, Aksenov S M, Rastsvetaeva R K, Lyssenko K A, Belakovskiy D I, Färber G, Möhn G, Van K V (2015) Antipinite, KNa_3_Cu_2_(C_2_O_4_)_4_, a new mineral species from a guano deposit at Pabellón de Pica, Chile. Mineralogical Magazine 79, 1111-1121","triclinic","0","K Na Cu^2+ C O","Atp"
"Antlerite","Cu^2+^_3_(S^6+^O_4_)(OH)_4_","Cu^2+^_3_(SO_4_)(OH)_4_","Cu S O H","","R050212 R110045","908","USA","1889","Approved","Not in a structural group"," ","Hillebrand W F (1889) Mineralogical Notes. 6. A basic cupric sulphate, Bulletin of the United States Geological Survey 55, 48-55","orthorhombic","4000","Cu^2+ S^6+ O H","Atl"
"Aphthitalite","K_3_Na(S^6+^O_4_)_2_","K_3_Na(SO_4_)_2_","K Na S O","","R050651","911","Italy","1813","Grandfathered|Approved","Aphthitalite","aphthitalite","Called vesuvian salt:
Smithson J (1813) On a saline substance from Mount Vesuvius, Philosophical Transactions of the Royal Society of London 103, 256-262

Named aphthalose:
Beudant F S (1832) Aphthalose, tartre vitriolé, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 477-478

Renamed aphthitalite:
Shepard C U (1835) Aphthitalite, Treatise on Mineralogy: second part 1, Hezekiah Howe and Co. and Herrick and Noyes (New Haven, Connecticut, USA) 36-36","hexagonal","594.1","K Na S^6+ O","Att"
"Aradite","BaCa_6_(SiO_4_)(V^5+^O_4_)(V^5+^O_4_)_2_F","BaCa_6_[(SiO_4_)(VO_4_)](VO_4_)_2_F","Ba Ca Si O V F","IMA2013-047","","6211","Israel","2013","Approved|Redefined","Zadovite"," ","Galuskin E V, Gfeller F, Galuskina I O, Pakhomova A, Armbruster T, Vapnik Y, Włodyka R, Dzierżanowski P, Murashko M (2015) New minerals with a modular structure derived from hatrurite from the pyrometamorphic Hatrurim Complex. Part II. Zadovite, BaCa_6_[(SiO_4_)(PO_4_)](PO_4_)_2_F and aradite, BaCa_6_[(SiO_4_)(VO_4_)](VO_4_)_2_F, from paralavas of the Hatrurim Basin, Negev Desert, Israel. Mineralogical Magazine 79, 1073-1087","hexagonal","16","Ba Ca Si O V^5+ F","Ara"
"Aragonite","CaCO_3_","Ca(CO_3_)","Ca C O","","R040078 R060195 R080142 R150021","916","Spain","1788","Grandfathered|Approved","Aragonite","aragonite","Mineral known earlier, but named arragonischer apatit by Werner:
Werner A G (1788) Geschichte, Karakteristik, und kurze chemische Untersuchung des Apatits. IV. Kurze Nachricht von den sogenannten arragonischen Apatiten, Bergmannisches Journal 1, 76-96

Renamed arragonite:
Hauy C (1791) Sur l'arragonite de Werner, Bulletin des Science, par la Société Philomathique 2, 67-68","orthorhombic","4700","Ca C O","Arg"
"Aravaite","Ba_2_Ca_18_(SiO_4_)_6_(PO_4_)_3_(CO_3_)F_3_O","Ba_2_Ca_18_(SiO_4_)_6_(PO_4_)_3_(CO_3_)F_3_O","Ba Ca Si O P C F","IMA2018-078","","6808","Israel","2018","Approved"," "," ","Krüger B, Krüger H, Galuskin E V, Galuskina I O, Vapnik Y, Olieric V, Pauluhn A (2018) Aravaite, Ba_2_Ca_18_(SiO_4_)_6_(PO_4_)_3_(CO_3_)F_3_O: modular structure and disorder of a new mineral with single and triple antiperovskite layers. Acta Crystallographica B74, 492-501","hexagonal","16","Ba Ca Si O P C F","Arv"
"Arcanite","K_2_S^6+^O_4_","K_2_(SO_4_)","K S O","","","920","USA","1845","Grandfathered|Approved","Arcanite"," ","Haidinger W (1845) Erste Klasse: Akrogenide. IV. Ordnung. Salze. XIII. Pikrochylinsalz. Arcanit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 487-492","orthorhombic","354","K S^6+ O","Acn"
"Archerite","H_2_KPO_4_","H_2_K(PO_4_)","H K P O","IMA1975-008","","921","Australia","1975","Approved","Biphosphammite"," ","Bridge P J (1977) Archerite, (K,NH<sub>4</sub>)H<sub>2</sub>PO<sub>4</sub>, a new mineral from Madura, Western Australia, Mineralogical Magazine 41, 33-35","tetragonal","0","H K P O","Aht"
"Ardealite","Ca_2_(PO_3_OH)(S^6+^O_4_)·4H_2_O","Ca_2_(PO_3_OH)(SO_4_)·4H_2_O","Ca P O H S","","R060233","925","Romania","1932","Grandfathered|Approved","Gypsum","pharmacolite","Schadler J (1932) Ardealite, ein neues mineral, CaHPO<sub>4</sub>·CaSO<sub>4</sub>·4H<sub>2</sub>O, Centralblatt fur Mineralogie, Geologie und Palaontologie 2, 40-41","monoclinic","164","Ca P O H S^6+","Adl"
"Ariegilatite","BaCa_12_(SiO_4_)_4_(PO_4_)_2_F_2_O","BaCa_12_(SiO_4_)_4_(PO_4_)_2_F_2_O","Ba Ca Si O P F","IMA2016-100","","6627","Israel","2017","Approved","Nabimusaite"," ","Galuskin E V, Krüger B, Galuskina I O, Krüger H, Vapnik Y, Wojdyla J A, Muraschko M (2018) New mineral with modular structure derived from hatrurite, from the Pyrometamorphic rocks of the Hatrurim Complex: Ariegilatite, BaCa_12_(SiO_4_)_4_(PO_4_)_2_F_2_O, from Negev Desert, Israel. Minerals 8, 109","hexagonal","16","Ba Ca Si O P F","Agi"
"Arsenogorceixite","BaAl_3_As^5+^O_4_(As^5+^O_3_OH)(OH)_6_","BaAl_3_(AsO_4_)(AsO_3_OH)(OH)_6_","Ba Al As O H","IMA1989-055","R060686","949","Germany","1989","Approved","Alunite-crandallite","alunite-jarosite-plumbogummite subgroup","Walenta K, Dunn P J (1993) Arsenogorceixit von der Grube Clara im mittleren Schwarzwald, Aufschluss 44, 250-254","hexagonal","1790","Ba Al As^5+ O H","Agcx"
"Arsenogoyazite","SrAl_3_(As^5+^O_4_)(As^5+^O_3_OH)(OH)_6_","SrAl_3_(AsO_4_)(AsO_3_OH)(OH)_6_","Sr Al As O H","IMA1983-043","","950","Germany","1983","Approved","Alunite-crandallite","alunite-jarosite-plumbogummite subgroup","Walenta K, Dunn P J (1984) Arsenogoyazit, ein neues mineral der Crandallitgruppe aus dem Schwarzwald. Schweizerische Mineralogische und Petrographische Mitteilungen 64, 11-19

","hexagonal","541","Sr Al As^5+ O H","Agoy"
"Arsenolite","As^3+^_2_O_3_","As_2_O_3_","As O","","R050383 R080095","953","Germany","1854","Grandfathered|Approved","Arsenolite"," ","The mineral was known before this publication, but under other names like arsenite, a general name for salts of arsenous acid:
Dana J D (1854) II. Oxyds of elements of the arsenic group. I. Oxyds of arsenic, antimony, etc. Arsenolite, in A System of Mineralogy, Comprising the Most Recent Discoveries, Fourth Edition, Volume II, George P. Putnam & Co. (New York and London) 139-140","cubic","2500","As^3+ O","Aso"
"Atacamite","Cu^2+^_2_Cl(OH)_3_","Cu_2_Cl(OH)_3_","Cu Cl O H","","R050098","978","Chile","1803","Grandfathered|Approved","Atacamite","atacamite","Blumenbach J F (1797) Kupfergeschlecht Atacamit. in Handbuch der Naturgeschichte, Johann Christian Dieterich (Göttingen) 660-660","orthorhombic","3200","Cu^2+ Cl O H","Ata"
