"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Afghanite","Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_","(Na,K)_22_Ca_10_(Si_24_Al_24_)O_96_(SO_4_)_6_Cl_6_","Na K Ca Si Al O S Cl","IMA1967-041","R060422 R070558","796","Afghanistan","1967","Approved","Cancrinite-sodalite","cancrinite-sodalite","Bariand P, Cesbron F, Giraud R (1968) Une nonvelle espece minerale: L’afghanite de Sar–e–Sang, Badakhshan, Afghanistan–Comparaison avec les mineraux du groupe de la cancrinite, Bulletin de la Société Française de Minéralogie et de Cristallographie 91, 34-42

Chemical formula revised:
Ballirano P, Bonaccorsi E, Maras A, Merlino S (1997) Crystal structure of afghanite, the eight-layer member of the cancrinite-group: evidence for long-range Si,Al ordering, European Journal of Mineralogy 9, 21-30","hexagonal","1600","Na Ca Si Al O S^6+ Cl","Afg"
"Afmite","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al O H P","IMA2005-025a","R130082","5844","France","2005","Approved"," "," ","Kampf A R, Mills S J, Rossman G R, Steele I M, Pluth J J, Favreau G (2011) Afmite, Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O, a new mineral from Fumade, Tarn, France: description and crystal structure, European Journal of Mineralogy 23, 269-277","triclinic","975.3","Al O H P","Afm"
"Afwillite","Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O","Ca_3_[SiO_4_][SiO_2_(OH)_2_]·2H_2_O","Ca Si O H","","R070296 R080022 R141097","797","South Africa","1925","Grandfathered|Approved","Spurrite-Afwillite"," ","Parry J, Wright F E (1925) Afwillite, a new hydrous calcium silicate, from Dutoitspan mine, Kimberley, South Africa, Mineralogical Magazine 20, 277-285","monoclinic|triclinic","2400","Ca Si O H","Afw"
"Agmantinite","Ag^1+^_2_Mn^2+^Sn^4+^S^2-^_4_","Ag_2_MnSnS_4_","Ag Mn Sn S","IMA2014-083","","6381","Peru","2014","Approved","Wurtzite"," ","Keutsch F N, Topa D, Fredrickson R T, Makovicky E, Paar W H (2019) Agmantinite, Ag_2_MnSnS_4_, a new mineral with a wurtzite derivative structure from the Uchucchacua polymetallic deposit, Lima Department, Peru. Mineralogical Magazine 83, 233-238","orthorhombic|monoclinic","24.5","Ag^1+ Mn^2+ Sn^4+ S^2-","Agm"
"Aguilarite","Ag^1+^_4_Se^2-^S^2-^","Ag_4_SeS","Ag Se S","","","806","Mexico","1891","Grandfathered|Approved","Acanthite","eucairite","Genth F A (1891) Aguilarite, a new species, The American Journal of Science Third Series 41, 401-402

Redefined as the Se-rich end-member of the acanthite structure:
Bindi L, Pingitore N E (2013) On the symmetry and crystal structure of aguilarite, Ag4SeS. Mineralogical Magazine 77, 21-31","monoclinic|orthorhombic","2680","Ag^1+ Se^2- S^2-","Agu"
"Aikinite","Cu^1+^Pb^2+^Bi^3+^S^2-^_3_","CuPbBiS_3_","Cu Pb Bi S","","R100117","809","Russia","1843","Grandfathered|Approved","Meneghinite","aikinite","Chapman E J (1843) Aikenite, in Practical Mineralogy, Hippolyte Bailliere, Publisher (London) 127-127","orthorhombic","2710","Cu^1+ Pb^2+ Bi^3+ S^2-","Aik"
"Akaogiite","Ti^4+^O_2_","TiO_2_","Ti O","IMA2007-058","","5657","Germany","2007","Approved","Baddeleyite"," ","El Goresy A, Dubrovinsky L, Gillet P, Graup G, Chen M (2010) Akaogiite: An ultra-dense polymorph of TiO<sub>2</sub> with the baddeleyite-type structure, in shocked garnet gneiss from the Ries Crater, Germany, American Mineralogist 95, 892-895","monoclinic","","Ti^4+ O","Aka"
"Akatoreite","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_","Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_","Mn Al Si O H","IMA1969-015","R060230","812","New Zealand","1969","Approved","Not in a structural group"," ","Read P B, Reay A (1971) Akatoreite, a new manganese silicate from eastern Otago, New Zealand, American Mineralogist 56, 416-426

Chemical formula revised:
Burns P C, Hawthorne F C (1993) Edge–sharing Mn<sup>2+</sup>O<sub>4</sub> tetrahedra in the structure of akatoreite, Mn<sup>2+</sup><sub>9</sub>Al<sub>2</sub>Si<sub>8</sub>O<sub>24</sub>(OH)<sub>8</sub>, The Canadian Mineralogist 31, 321-329","triclinic","","Mn^2+ Al Si O H","Akt"
"Akdalaite","Al_10_O_14_(OH)_2_","Al_10_O_14_(OH)_2_","Al O H","IMA1969-002","","813","Kazakhstan","1969","Approved","Nolanite"," ","Shpanov E P, Sidorenko G A, Stolyarova T I (1970) Akdalaite, a new hydrous modification of alumina, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva 99, 333-339

Chemical formula revised from (Al_2_O_3_)_5_·H_2_O:
Parise J B, Xia B, Simonson J W, Woerner W R, Plonka A M, Phillips B L, Ehm L (2019) Structural chemistry of akdalaite, Al_10_O_14_(OH)_2_, the isostructural aluminum analogue of ferrihydrite. Crystals 9, 246","hexagonal|orthorhombic","623.3","Al O H","Akd"
"Åkermanite","Ca_2_MgSi_2_O_7_","Ca_2_MgSi_2_O_7_","Ca Mg Si O","","R061085 R061100","814","Sweden","1884","Grandfathered|Approved","Melilite","melilite","Vogt I H L (1890) Die mineralien der melilithgruppe - nämlich gehlenit, melilith und ein neues tetragonales, nicht Al<sub>2</sub>O<sub>3</sub>-führendes (Ca,Mg)O-silikat (Åkermanit), nebst zwischengliedern, Archiv for Mathematik og Naturvidenskab 13, 310-402","tetragonal","4330","Ca Mg Si O","Åk"
"Akhtenskite","Mn^4+^O_2_","MnO_2_","Mn O","IMA1982-072","","815","Russia","1982","Approved","Ramsdellite"," ","Chukhrov F V, Gorshkov A I, Sivtsov A V, Berezovskaya V V, Dikov Y P, Dubinina G A, Varinov N N (1989) Akhtenskite – The natural analog of ε–MnO<sub>2</sub>, Izvestiya Akademii Nauk SSSR 9, 75-80","hexagonal","63.5","Mn^4+ O","Akh"
"Akrochordite","Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O","Mn^2+^_5_(AsO_4_)_2_(OH)_4_·4H_2_O","Mn As O H","","R100028","817","Sweden","1922","Grandfathered|Approved","Akrochordite"," ","Flink G (1922) Akrochordit, ett nytt mineral från Långbans gruvor, Geologiska Foereningens i Stockholm Foerhandlingar 44, 773-776","monoclinic","1890","Mn^2+ As^5+ O H","Akr"
"Aksaite","MgB_6_O_7_(OH)_6_·2H_2_O","MgB_6_O_7_(OH)_6_·2H_2_O","Mg B O H","","","818","Kazakhstan","1962","Approved","Not in a structural group"," ","Blazko L N, Kondrat’eva V V, Yarzhemskii Y Y (1962) Aksaite, a new hydrous magnesium borate, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 91, 447-454","orthorhombic","354","Mg B O H","Aks"
"Aktashite","Cu^1+^_6_Hg^2+^_3_As^3+^_4_S^2-^_12_","Cu_6_Hg_3_As_4_S_12_","Cu Hg As S","","","819","Russia","1968","Approved|Redefined","Nowackiite","nowackiite","Vasil'ev V I (1968) New ore minerals of the mercury deposits of Gornyi Altai and their parageneses. In: Problems of the metallogeny of mercury. Izdatelstvo ""Nauka"" Moskva 1968, 111-129","hexagonal","2638","Cu^1+ Hg^2+ As^3+ S^2-","Ats"
"Alabandite","Mn^2+^S^2-^","MnS","Mn S","","R070174","820","Romania / Turkey","1822","Grandfathered|Approved","Rocksalt","galena","Called alabandina sulfurea by Don Andres Manuel del Rio as reported in:
Haüy R J (1822) Manganèse sulfuré, Traité de Minéralogie 4, 268-272

Renamed alabandine:
Beudant F S (1832) Alabandine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 399-400","cubic","4620","Mn^2+ S^2-","Abd"
"Alacránite","As_8_S_9_","As_8_S_9_","As S","IMA1985-033","R140323 R150030","821","Russia","1985","Approved|Renamed","Not in a structural group"," ","Popova V I, Popov V A, Clark A H, Polyakov V O, Borisovskii S E (1986) Alacránite, As<sub>8</sub>S<sub>9</sub> – a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 115(3), 360-368

Chemical formula changed:
Burns P C, Percival J B (2001) Alacranite, As<sub>4</sub>S<sub>4</sub>: a new occurrence, new formula, and determination of the crystal structure, The Canadian Mineralogist 39, 809-818

Chemical formula changed again:
Bonazzi P, Bindi L, Popova V, Pratesi G, Menchetti S (2003) Alacranite, As<sub>8</sub>S<sub>9</sub>: structural study of the holotype and re-assignment of the original chemical formula, American Mineralogist 88, 1796-1800","monoclinic","443","As S","Acr"
"Albite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","Na Al Si O","","R040068 R040129 R050253 R050402 R060054 R070268 R100169","824","Sweden","1815","Grandfathered|Approved","Feldspar","feldspar","Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)","triclinic","4620","Na Al Si O","Ab"
"Alburnite","Ag^1+^_8_Ge^4+^Te^2-^_2_S^2-^_4_","Ag_8_GeTe_2_S_4_","Ag Ge Te S","IMA2012-073","","6132","Romania","2012","Approved","Argyrodite"," ","Tămaş C G, Grobety B, Bailly L, Bernhardt H J, Minuţ A (2014) Alburnite, Ag_8_GeTe_2_S_4_, a new mineral species from the Roşia Montana Au-Ag epithermal deposit, Apuseni Mountains, Romania. American Mineralogist 99, 57-64","cubic","12.87","Ag^1+ Ge^4+ Te^2- S^2-","Alb"
"Aldermanite","[Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O","[Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O","Mg H O Na Al P","IMA1980-044, IMA2020-I, IMA2021","R100073","826","Australia","1980","Approved|Redefined","Not in a structural group"," ","Harrowfield I R, Segnit E R, Watts J A (1981) Aldermanite, a new magnesium aluminium phosphate, Mineralogical Magazine 44, 59-62

Redefined with change in chemical formula from Mg_5_Al_12_(PO_4_)_8_(OH)_22_·32H_2_O to [Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O:
Elliot P, Grey I E, Willis A C (2021) Redefinition of the formula for aldermanite, [Mg(H_2_O)_6_] [Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH,F)_6_]⋅H_2_O, and its crystal structure. Mineralogical Magazine 85, 348-353","orthorhombic","","Mg H O Na Al P","Adm"
"Aleksandrovite","KCa_7_Sn^4+^_2_Li_3_Si_12_O_36_F_2_","KCa_7_Sn_2_Li_3_Si_12_O_36_F_2_","K Ca Sn Li Si O F","IMA2009-004","","5736","Tajikistan","2009","Approved","Baratovite"," ","Pautov L A, Agakhanov A A, Karpenko V Y, Gafurov F G (2010) Aleksandrovite KLi<sub>3</sub>Ca<sub>7</sub>Sn<sub>2</sub>[Si<sub>6</sub>O<sub>18</sub>]<sub>2</sub>F<sub>2</sub> - a new tin mineral, New Data on Minerals. Moscow 45, 5-16","monoclinic","270","K Ca Sn^4+ Li Si O F","Asd"
"Aleksite","Pb^2+^Bi^3+^_2_Te^2-^_2_S^2-^_2_","PbBi_2_Te_2_S_2_","Pb Bi Te S","IMA1977-038","R070011","4935","Russia","1977","Approved","Tetradymite"," ","Lipovetskii A G, Borodaev Y S, Zav´yalov E N (1978) Aleksite, PbBi<sub>2</sub>Te<sub>2</sub>S<sub>2</sub>, a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 107(3), 315-321","hexagonal","2724","Pb^2+ Bi^3+ Te^2- S^2-","Alk"
"Alflarsenite","NaCa_2_Be_3_Si_4_O_13_(OH)·2H_2_O","NaCa_2_Be_3_Si_4_O_13_(OH)·2H_2_O","Na Ca Be Si O H","IMA2008-023","","5682","Norway","2008","Approved"," "," ","Raade G, Grice J D, Cooper M A (2009) Alflarsenite, a new beryllium-silicate zeolite from a syenitic pegmatite in the Larvik plutonic complex, Oslo Region, Norway, European Journal of Mineralogy 21, 893-900","monoclinic","294","Na Ca Be Si O H","Alf"
"Alforsite","Ba_5_(PO_4_)_3_Cl","Ba_5_(PO_4_)_3_Cl","Ba P O Cl","IMA1980-039","R070356","827","USA","1980","Approved","Apatite","apatite","Newberry N G, Essene E J, Peacor D R (1981) Alforsite, a new member of the apatite group: the barium analogue of chlorapatite, American Mineralogist 66, 1050-1053","hexagonal","542","Ba P O Cl","Afr"
"Alfredstelznerite","Ca_4_B_16_O_16_(OH)_24_·19H_2_O","Ca_4_(H_2_O)_4_[B_4_O_4_(OH)_6_]_4_(H_2_O)_15_","Ca H O B","IMA2007-050","","5650","Argentina","2007","Approved","Not in a structural group"," ","Galliski M A, Cooper M A, Márquez-Zavalía M F, Hawthorne F C (2010) Alfredstelznerite: A new species of calcium borate hydrate from the Santa Rosa mine, Salta, Northwestern Argentina, The Canadian Mineralogist 48, 123-128","orthorhombic","","Ca B O H","Asz"
"Algodonite","Cu_1-x_As_x_ (x ≈ 1/7)","Cu_1-x_As_x_ (x ≈ 0.15)","Cu As","","","828","Chile","1857","Grandfathered|Approved","Not in a structural group"," ","Field F (1857) On algodonite, a new mineral containing arsenic and copper, The Quarterly Journal of the Chemical Society 10, 289-292

Chemical formula revised:
Bayliss P (1990) Revised unit cell dimensions, space group, and chemical formula of some metallic minerals, The Canadian Mineralogist 28, 751-755","hexagonal","1960","Cu As","Ago"
"Allactite","Mn^2+^_7_(As^5+^O_4_)_2_(OH)_8_","Mn^2+^_7_(AsO_4_)_2_(OH)_8_","Mn As O H","","R070175 R150120","4920","Sweden","1884","Approved","Allactite"," ","Sjögren A (1884) Allaktit, ett nytt manganarseniat från Mossgrufvan å Nordmarksfältet, Geologiska Föreningens i Stockholm Förhandlingar 7, 109-111","monoclinic","1890","Mn^2+ As^5+ O H","Ala"
"Allanite-(Ce)","CaCeAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)","CaCe(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Ce Al Fe Si O H","IMA1987 s.p.","R050043 R060418 R080044 R080092","832","Denmark (Greenland)","1812","Approved|Renamed","Epidote, allanite","epidote","Thomson T (1812) Experiments on allanite, a new mineral from Greenland, Transactions of the Royal Society of Edinburgh 6, 371-386

Name changed from allanite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042","monoclinic|unknown","3366","Ca Ce Al Fe^2+ Si O H","Aln-Ce"
"Allanite-(La)","CaLaFe^2+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)","CaLa(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca La Al Fe Si O H","IMA2003-065","R070246","4939","Italy","2003","Approved","Epidote, allanite","epidote","While the name has been used previously, it was only officially approved by IMA with this publication:
Orlandi P, Pasero M (2006) Allanite-(La) from Buca della Vena mine, Apuan Alps, Italy, an epidote-group mineral, The Canadian Mineralogist 44, 63-68","monoclinic","2816","Ca La Fe^2+ Al Si O H","Aln-La"
"Allanite-(Y)","CaYAl_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)","CaY(Al_2_Fe^2+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Y Al Fe Si O H","IMA1966 s.p.","","833","South Africa","1949","Approved|Renamed","Epidote, allanite","epidote","Nel H J, Strauss C A, Wickman F E (1949) Lombaardite, a new mineral from the Zaaiplaats Tin Mine, Central Transvaal, Union of South Africa Department of Mines, Geological Survey Memoir 43, 45-57

Name changed from lombaardite:
Levinson A A (1966) A system of nomenclature for rare-earth minerals, American Mineralogist 51, 152-158","monoclinic","2698","Ca Y Al Fe^2+ Si O H","Aln-Y"
"Allargentum","Ag_1-x_Sb_x_ (x=0.09-0.16)","Ag_1-x_Sb_x_ (x ≈ 0.09-0.16)","Ag Sb","","","834","Canada","1949","Approved|Redefined","Allargentum"," ","Ramdohr P (1949) Neue erzmineralien, Fortschritte der Mineralogie 28, 69-70

Redefined:
Petruk W, Cabri L J, Harris D C, Stewart J M, Clark L A (1970) Allargentum, redefined, The Canadian Mineralogist 10, 163-172","hexagonal","2730","Ag Sb","All"
"Alleghanyite","Mn^2+^_5_(SiO_4_)_2_(OH)_2_","Mn^2+^_5_(SiO_4_)_2_(OH)_2_","Mn Si O H","","R060904 R070378","835","USA","1932","Grandfathered|Approved","Humite","humite-reinhardbraunsite subgroup","Ross C S, Kerr P F (1932) The manganese minerals of a vein near Bald Knob, North Carolina, American Mineralogist 17, 1-15","monoclinic","1898","Mn^2+ Si O H","Alh"
"Alloclasite","Co^3+^(AsS)^3-^","CoAsS","Co As S","","R110002","836","Romania","1866","Grandfathered|Approved","Löllingite"," ","Tschermak G (1866) Der alloklas und der sogenannte glaukodot von Orawicza, Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften 53, 220-225","monoclinic","3254","Co^3+ As S","Acl"
"Allophane","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O","Al_2_O_3_(SiO_2_)_1.3-2.0_·2.5-3.0H_2_O","Al O Si H","","R070188 R120001","837","Germany","1816","Grandfathered|Approved","Allophane","kaolinite-serpentine-serpentine subgroup","Hausmann J F L, Stromeyer F (1816) Report at the Royal Academy of Sciences Göttingen meeting 13 July, 1816 on silberkupferglanz and allophan, Göttingische Gelehrte Anzeigen 2, 1249-1253","","4000","Al O Si H","Alp"
"Alloriite","(Na,K,Ca)_24_(Na,Ca)_4_Ca_4_(Si,Al)_48_O_96_(S^6+^O_4_)_4_(SO_3_,CO_3_)_2_(OH,Cl)_2_(H_2_O,OH)_4_","(Na,K,Ca)_24_(Na,Ca)_4_Ca_4_(Si,Al)_48_O_96_(SO_4_)_4_(SO_3_,CO_3_)_2_(OH,Cl)_2_(H_2_O,OH)_4_","Na K Ca Si Al O S C H Cl","IMA2006-020","R070560","5356","Italy","2006","Approved","Cancrinite, Cancrinite-sodalite"," ","Chukanov N V, Rastsvetaeva R K, Pekov I V, Zadov A E (2007) Alloriite, Na<sub>5</sub>K<sub>1.5</sub>Ca(Si<sub>6</sub>Al<sub>6</sub>O<sub>24</sub>)(SO<sub>4</sub>)·(OH)<sub>0.5</sub>·H<sub>2</sub>O, a new mineral of the cancrinite group, Zapiski Rossiiskogo Mineralogicheskogo Obshchetstva 136(1), 82-89

Chemical formula revised:
Rastsvetaeva R K, Ivanova A G, Chukanov N V, Verin I A (2007) Crystal structure of alloriite, Doklady Earth Sciences 415, 815-819","hexagonal","0.4","Na K Ca Si Al O S^6+ S C H Cl","Aor"
"Alluaudite","[box]NaMn^2+^Fe^3+^_2_(PO_4_)_3_","[box]NaMnFe^3+^_2_(PO_4_)_3_","Na Mn Fe P O","","R160080 R160081 R140711 R141067","839","France","1848","Approved|Redefined","Alluaudite","alluaudite","Damour A A (1848) Sur un nouveau phosphate de fer, de manganèse et de soude, l'alluaudite, trouvé dans le département de la Haute-Vienne, Annales des Mines 13, 341-350

Redefined:
Moore P B, Ito J (1979) Alluaudites, wyllieites, arrojadites: crystal chemistry and nomenclature, Mineralogical Magazine 43, 227-235

Chemical formula changed from (Na,Ca)(Mn,Mg,Fe^2+^)(Fe^3+^,Mn^2+^)_2_(PO_4_)_3_:
Hatert F (2019) A new nomenclature scheme for the alluaudite supergroup. European Journal of Mineralogy 31, 807-822","monoclinic","2772","Na Mn^2+ Fe^3+ P O","Ald"
"Almandine","Fe^2+^_3_Al_2_(SiO_4_)_3_","Fe^2+^_3_Al_2_(SiO_4_)_3_","Fe Al Si O","","R040076 R040079 R040168 R050029 R060099 R060450 R070129 R100046 R120145 R120152 R190023","840","Turkey","0","Grandfathered|Approved","Garnet","garnet","Mineral name, or its predecessor alabandina, has been known since antiquity and predates any formal descriptive publication.","cubic|unknown","2925","Fe^2+ Al Si O","Alm"
