"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Adranosite","(N^3-^H_4_)_4_NaAl_2_(S^6+^O_4_)_4_Cl(OH)_2_","(NH_4_)_4_NaAl_2_(SO_4_)_4_Cl(OH)_2_","N H Na Al S O Cl","IMA2008-057","","5717","Italy","2008","Approved","Adranosite"," ","Demartin F, Gramaccioli C M, Campostrini I (2010) Adranosite, (NH<sub>4</sub>)<sub>4</sub>NaAl<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>Cl(OH)<sub>2</sub>, a new ammonium sulfate chloride from La Fossa Crater, Vulcano, Aeolian Islands, Italy, The Canadian Mineralogist 48, 315-321","tetragonal","326","N^3- H Na Al S^6+ O Cl","Arn"
"Adranosite-(Fe)","(N^3-^H_4_)_4_NaFe^3+^_2_(S^6+^O_4_)_4_Cl(OH)_2_","(NH_4_)_4_NaFe_2_(SO_4_)_4_Cl(OH)_2_","N H Na Fe S O Cl","IMA2011-006","","5936","Italy","2011","Approved","Adranosite"," ","Mitolo D, Demartin F, Garavelli A, Campostrini I, Pinto D, Gramaccioli C M, Acquafredda P, Kolitsch U (2013) Adranosite-(Fe), (NH_4_)_4_NaFe_2_(SO_4_)_4_Cl(OH)_2_, a new ammonium sulfate chloride from La Fossa Crater, Vulcano, Aeolian Islands, Italy, The Canadian Mineralogist 51, 57-66","tetragonal","259.1","N^3- H Na Fe^3+ S^6+ O Cl","Arn-Fe"
"Aerugite","Ni^2+^_8.5_(As^5+^O_4_)_2_As^5+^O_8_","Ni_8.5_(AsO_4_)_2_As^5+^O_8_","Ni As O","","","4876","Germany","1858","Approved|Redefined","Not in a structural group"," ","Bergemann C (1858) Über einige nickelerze, Journal für Praktische Chemie 75, 239-244

Redefined in:
Davis R J, Hey M H, Kingsbury A W G (1965) Xanthiosite and aerugite, Mineralogical Magazine 35, 72-83","hexagonal","200","Ni^2+ As^5+ O","Aru"
"Afmite","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al_3_(OH)_4_(H_2_O)_3_(PO_4_)(PO_3_OH)·H_2_O","Al O H P","IMA2005-025a","R130082","5844","France","2005","Approved"," "," ","Kampf A R, Mills S J, Rossman G R, Steele I M, Pluth J J, Favreau G (2011) Afmite, Al<sub>3</sub>(OH)<sub>4</sub>(H<sub>2</sub>O)<sub>3</sub>(PO<sub>4</sub>)(PO<sub>3</sub>OH)·H<sub>2</sub>O, a new mineral from Fumade, Tarn, France: description and crystal structure, European Journal of Mineralogy 23, 269-277","triclinic","975.3","Al O H P","Afm"
"Agaite","Pb^2+^_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)","Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_)","Pb Cu Te O H C","IMA2011-115","","6058","USA","2011","Approved","Not in a structural group"," ","Kampf A R, Mills S J, Housley R M, Marty J (2013) Lead-tellurium oxysalts from Otto Mountain near Baker, California: IX. Agaite, Pb_3_Cu^2+^Te^6+^O_5_(OH)_2_(CO_3_), a new mineral with CuO_5_-TeO_6_ polyhedral sheets, American Mineralogist 98, 512-517","orthorhombic","946","Pb^2+ Cu^2+ Te^6+ O H C","Aga"
"Agardite-(Ce)","Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","CeCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O","Ce Cu As O H","IMA2003-030","","799","Germany","2003","Approved","Mixite","mixite","Walenta K, Theye T (2004) Agardite-(Ce) of the Clara mine in the central Black Forest, Aufschluss 55, 17–23","hexagonal","541","Cu^2+ Ce^3+ As^5+ O H","Agr-Ce"
"Agardite-(La)","Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","LaCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O","La Cu As O H","IMA1980-092","","801","Greece","1980","Approved","Mixite","mixite","Fehr T, Hochleitner R (1984) Agardite-La. Ein neues mineral von Lavrion, Griechenland, Lapis 9, 22-37","hexagonal","359","Cu^2+ La^3+ As^5+ O H","Agr-La"
"Agardite-(Nd)","Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","NdCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O","Nd Cu As O H","IMA2010-056","","802","Greece","2010","Approved","Mixite"," ","Pekov I V, Chukanov N V, Zadov A E, Voudouris P, Magganas A, Katerinopoulos A (2011) Agardite-(Nd), NdCu<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O, from the Hilarion Mine, Lavrion, Greece: mineral description and chemical relations with other members of the agardite-zálesíite solid-solution system, Journal of Geosciences 57, 249-255","hexagonal","419","Cu^2+ Nd^3+ As^5+ O H","Agr-Nd"
"Agardite-(Y)","Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O","YCu^2+^_6_(AsO_4_)_3_(OH)_6_·3H_2_O","Y Cu As O H","IMA1968-021, IMA1987 s.p.","R060711 R060924 R070357 R070649","803","Morocco","1968","Approved|Renamed","Mixite","mixite","Dietrich J E, Orliac M, Permingeat F (1969) L’agardite, une nouvelle espèce minérale, et le problème du chlorotile, Bulletin de la Société Française de Minéralogie et de Cristallographie 92, 420-434

Name changed from agardite:
Nickel E H, Mandarino J A (1987) Procedures involving the IMA Commission on New Minerals and Mineral Names and guidelines on mineral nomenclature, American Mineralogist 72, 1031-1042","hexagonal","1861","Cu^2+ Y^3+ As^5+ O H","Agr-Y"
"Agricolaite","K_4_(U^6+^O_2_)(CO_3_)_3_","K_4_(UO_2_)(CO_3_)_3_","K U O C","IMA2009-081","","5810","Czech Republic","2009","Approved","Not in a structural group"," ","Skála R, Ondruš P, Veselovský F, Císařová I, Hloušek J (2011) Agricolaite, a new mineral of uranium from Jáchymov, Czech Republic, Mineralogy and Petrology 103, 169-175","monoclinic","543","K U^6+ O C","Agc"
"Agrinierite","K_2_Ca[(U^6+^O_2_)_3_O_3_(OH)_2_]_2_·5H_2_O","K_2_Ca[(UO_2_)_3_O_3_(OH)_2_]_2_·5H_2_O","K Ca U O H","IMA1971-046","R130139","805","France","1971","Approved","Compreignacite"," ","Cesbron F, Brown W L, Bariand P, Geffroy J (1972) Rameauite and agrinierite, two new hydrated complex uranyl oxides from Margnac, France, Mineralogical Magazine 38, 781-789

Chemical formula modified:
Cahill C L, Burns P C (2000) The structure of agrinierite: a Sr-containing uranyl oxide hydrate mineral, American Mineralogist 85, 1294-1297","orthorhombic","276","K Ca U^6+ O H","Agn"
"Aheylite","Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O","Fe^2+^Al_6_(PO_4_)_4_(OH)_8_·4H_2_O","Fe Al P O H","IMA1984-036","R070070 R070171","807","Bolivia","1984","Approved","Turquoise","turquoise","Foord E E, Taggart J E (1998) A reexamination of the turquoise group: the mineral aheylite, planerite (redefined), turquoise and coeruleolactite, Mineralogical Magazine 62, 93-111","triclinic","1790","Fe^2+ Al P O H","Ahe"
"Ahlfeldite","Ni^2+^Se^4+^O_3_·2H_2_O","Ni(SeO_3_)·2H_2_O","Ni Se O H","","R100210","808","Bolivia","1935","Grandfathered|Approved","Cobaltomenite","cobaltomenite","Herzenberg R, Ahlfeld F (1935) Blockit, ein neues seienerz aus Bolivien, Zentralblatt für Mineralogie, Geologie und Paläontologie 6, 277-279

Redefined:
Aristarain L F, Hurlbut C S (1969) Ahlfeldite from Pacacake Bolivia; A restudy, American Mineralogist 54, 448-456","monoclinic","416","Ni^2+ Se^4+ O H","Afe"
"Aiolosite","Na_2_(Na_2_Bi^3+^)(S^6+^O_4_)_3_Cl","Na_2_(Na_2_Bi)(SO_4_)_3_Cl","Na Bi S O Cl","IMA2008-015","","5674","Italy","2008","Approved","Apatite"," ","Demartin F, Gramaccioli C M, Campostrini I, Pilati T (2010) Aiolosite, Na<sub>2</sub>(Na<sub>2</sub>Bi)(SO<sub>4</sub>)<sub>3</sub>Cl, a new sulfate isotypic to apatite from La Fossa Crater, Vulcano, Aeolian Islands, Italy, American Mineralogist 95, 382-385","hexagonal","","Na Bi^3+ S^6+ O Cl","Aio"
"Ajoite","K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O","K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O","K Cu Al Si O H","","R060735 R120018","810","USA","1958","Approved","Ajoite"," ","Schaller W T, Vlisidis A C, (1958) Ajoite, a new hydrous aluminum copper silicate, American Mineralogist 43, 1107-1111

Chemical formula revised:
Chao G Y (1981) Ajoite: new data, American Mineralogist 66, 201-203

Chemical formula revised again:
Pluth J J, Smith J V (2002) Arizona porphyry copper/hydrothermal deposits II: Crystal structure of ajoite, (K+Na)<sub>3</sub>Cu<sub>20</sub>Al<sub>3</sub>Si<sub>29</sub>O<sub>7</sub>(OH)<sub>16</sub>·~8H<sub>2</sub>O, Proceedings of the National Academy of Sciences 99, 11002-11005","triclinic","372","K Cu^2+ Al Si O H","Aj"
"Akaganeite","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O","Fe Ni O H Cl","IMA1962-004","","811","Japan","1962","Approved|Renamed","Coronadite"," ","Mackay, A L (1962) ß-ferric oxyhydroxide-akaganéite, Mineralogical Magazine 33, 270-280

Chemical formula redefined:
Post J E, Heaney P J, von Dreele R B, Hanson J C (2003) Neutron and temperature-resolved synchrotron X-ray powder diffraction study of akaganéite, American Mineralogist 88, 782-788","monoclinic|tetragonal","2038","Fe^3+ Ni^2+ O H Cl","Akg"
"Akhtenskite","Mn^4+^O_2_","MnO_2_","Mn O","IMA1982-072","","815","Russia","1982","Approved","Ramsdellite"," ","Chukhrov F V, Gorshkov A I, Sivtsov A V, Berezovskaya V V, Dikov Y P, Dubinina G A, Varinov N N (1989) Akhtenskite – The natural analog of ε–MnO<sub>2</sub>, Izvestiya Akademii Nauk SSSR 9, 75-80","hexagonal","63.5","Mn^4+ O","Akh"
"Alamosite","Pb^2+^SiO_3_","PbSiO_3_","Pb Si O","","R060067","822","Mexico","1909","Grandfathered|Approved","Not in a structural group"," ","Palache C, Merwin H E (1909) Alamosite, a new lead silicate from Mexico, American Journal of Science 27, 399-401","monoclinic","1898","Pb^2+ Si O","Aam"
"Alarsite","AlAs^5+^O_4_","Al(AsO_4_)","Al As O","IMA1993-003","","823","Russia","1993","Approved","Quartz","berlinite","Semenova T F, Vergasova L P, Filatov S K, Ananev V V (1994) Alarsite AlAsO<sub>4</sub>: A new mineral from volcanic exhalations, Doklady Akademii Nauk 338(4), 501-505","hexagonal","3.6E-5","Al As^5+ O","Ars"
"Albertiniite","Fe^2+^(S^4+^O_3_)·3H_2_O","Fe^2+^(SO_3_)·3H_2_O","Fe S O H","IMA2015-004","","6410","Italy","2015","Approved","Not in a structural group"," ","Vignola P, Gatta G D, Rotiroti N, Gentile P, Hatert F, Baijot M, Bersani D, Risplendente A, Pavese A (2016) Albertiniite, Fe^2+^(SO_3_)·3H_2_O, a new sulfite mineral species from the Monte Falò Pb-Zn mine, Coiromonte, Armeno Municipality, Verbano Cusio Ossola Province, Piedmont, Italy. Mineralogical Magazine 80, 985-994","monoclinic","","Fe^2+ S^4+ O H","Abt"
"Albite","NaAlSi_3_O_8_","Na(AlSi_3_O_8_)","Na Al Si O","","R040068 R040129 R050253 R050402 R060054 R070268 R100169","824","Sweden","1815","Grandfathered|Approved","Feldspar","feldspar","Gahn J G, Berzelius J (1815) Underfökning af nagra i grannskapet af Fahlun funna Fossilier, Afhandlingar i Fysik, Kemi och Mineralogi 4, 148-216 (see page 180)","triclinic","4620","Na Al Si O","Ab"
"Albrechtschraufite","Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O","MgCa_4_F_2_[UO_2_(CO_3_)_3_]_2_·17-18H_2_O","Mg Ca F U O C H","IMA1983-078","","825","Czech Republic","1983","Approved","Not in a structural group"," ","Mereiter K (1984) The crystal structure of albrechtschraufite, MgCa<sub>4</sub>F<sub>2</sub>[(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>]<sub>2</sub>·17H<sub>2</sub>O, Acta Crystallographica A40, C247-C247 ","triclinic","0","Ca Mg U^6+ O C F H","Asf"
"Alcantarillaite","[Fe^3+^_0.5_(H_2_O)_4_][CaAs^3+^_2_(Fe^3+^_2.5_W^6+^_0.5_)(As^5+^O_4_)_2_O_7_]","[Fe^3+^_0.5_(H_2_O)_4_][CaAs^3+^_2_(Fe^3+^_2.5_W^6+^_0.5_)(AsO_4_)_2_O_7_]","Fe H O Ca As W","IMA2019-072","","6954","Spain","2019","Approved","Walentaite"," ","Grey I E, Hochleitner R, Rewitzer C, Riboldi-Tunnicliffe A, Kampf A R, MacRae C M, Mumme W G, Kaliwoda M, Friis H, Martin C U (2020) The walentaite group and the description of a new member, alcantarillaite, from the Alcantarilla mine, Belalcázar, Córdoba, Andalusia, Spain. Mineralogical Magazine 84, 412-419","orthorhombic","","Fe^3+ H O Ca As^3+ W^6+ As^5+","Alc"
"Alcaparrosaite","K_3_Ti^4+^Fe^3+^(S^6+^O_4_)_4_O·2H_2_O","K_3_Ti^4+^Fe^3+^(SO_4_)_4_O(H_2_O)_2_","K Ti Fe S O H","IMA2011-024","","5952","Chile","2011","Approved","Alcaparrosaite"," ","Kampf A R, Mills S J, Housley R M, Williams P A, Dini M (2012) Alcaparrosaite, K<sub>3</sub>Ti<sup>4+</sup>Fe<sup>3+</sup>(SO<sub>4</sub>)<sub>4</sub>O(H<sub>2</sub>O)<sub>2</sub>, a new hydrophobic Ti<sup>4+</sup> sulfate from Alcaparrosa, Chile, Mineralogical Magazine 76, 851-861","monoclinic","","K Ti^4+ Fe^3+ S^6+ O H","Apr"
"Aldermanite","[Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O","[Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O","Mg H O Na Al P","IMA1980-044, IMA2020-I, IMA2021","R100073","826","Australia","1980","Approved|Redefined","Not in a structural group"," ","Harrowfield I R, Segnit E R, Watts J A (1981) Aldermanite, a new magnesium aluminium phosphate, Mineralogical Magazine 44, 59-62

Redefined with change in chemical formula from Mg_5_Al_12_(PO_4_)_8_(OH)_22_·32H_2_O to [Mg(H_2_O)_6_][Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH)_6_]·H_2_O:
Elliot P, Grey I E, Willis A C (2021) Redefinition of the formula for aldermanite, [Mg(H_2_O)_6_] [Na(H_2_O)_2_Al_3_(PO_4_)_2_(OH,F)_6_]⋅H_2_O, and its crystal structure. Mineralogical Magazine 85, 348-353","orthorhombic","","Mg H O Na Al P","Adm"
"Aldridgeite","(Cd^2+^,Ca)(Cu^2+^,Zn^2+^)_4_(S^6+^O_4_)_2_(OH)_6_·3H_2_O","(Cd,Ca)(Cu,Zn)_4_(SO_4_)_2_(OH)_6_·3H_2_O","Cd Ca Cu Zn S O H","IMA2010-029","","5856","Australia","2010","Approved","Devilline"," ","Elliot P, Pring A (2015) Aldridgeite, a new mineral from the Block 14 open cut, Broken Hill, New South Wales. Australian Journal of Mineralogy 17, 67-71","monoclinic","1861","Cd^2+ Ca Cu^2+ Zn^2+ S^6+ O H","Adg"
"Aleutite","[Cu^2+^_5_O_2_](As^5+^O_4_)(V^5+^O_4_)·(Cu^2+^_0.5_[box]_0.5_)Cl","[Cu_5_O_2_](AsO_4_)(VO_4_)·(Cu_0.5_[box]_0.5_)Cl","Cu O As V Cl","IMA2018-014","","6757","Russia","2018","Approved","Not in a structural group"," ","Siidra O I, Nazarchuk E V, Agakhanov A A, Polekhovsky Y S (2019) Aleutite [Cu_5_O_2_](AsO_4_)(VO_4_)·(Cu_0.5_[box]_0.5_)Cl, a new complex salt-inclusion mineral with Cu^2+^ substructure derived from a Kagome-net. Mineralogical Magazine 83, 847-853","monoclinic","3.6E-5","Cu^2+ O As^5+ V^5+ Cl","Aeu"
"Alfredopetrovite","Al_2_(Se^4+^O_3_)_3_·6H_2_O","Al_2_(Se^4+^O_3_)_3_·6H_2_O","Al Se O H","IMA2015-026","R210010","6427","Bolivia","2015","Approved","Not in a structural group"," ","Kampf A R, Mills S J, Nash B P, Thorne B, Favreau G (2016) Alfredopetrovite, a new selenite mineral from the El Dragón mine, Bolivia. European Journal of Mineralogy 28, 479-484","hexagonal","416","Al Se^4+ O H","Afd"
"Allanpringite","Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O","Fe^3+^_3_(PO_4_)_2_(OH)_3_·5H_2_O","Fe P O H","IMA2004-050","R080147","5296","Germany","2004","Approved","Wavellite"," ","Kolitsch U, Bernhardt H J, Lengauer C L, Blass G, Tillmanns E (2006) Allanpringite, Fe<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·5H<sub>2</sub>O, a new ferric iron phosphate from Germany, and its close relation to wavellite, European Journal of Mineralogy 18, 793-801","monoclinic","","Fe^3+ P O H","Apg"
"Allochalcoselite","Cu^1+^Cu^2+^_5_Pb^2+^O_2_(Se^4+^O_3_)_2_Cl_5_","Cu^1+^Cu^2+^_5_PbO_2_(SeO_3_)_2_Cl_5_","Cu Pb O Se Cl","IMA2004-025","","5282","Russia","2004","Approved","Not in a structural group"," ","Vergasova L P, Krivovichev S V, Britvin S N, Fitatov S K, Berns P K, Ananyev V V (2005) Allochalcoselite, Cu<sup>+</sup>Cu<sup>2+</sup><sub>5</sub>PbO<sub>2</sub>(SeO<sub>3</sub>)<sub>2</sub>Cl<sub>5</sub> - a new mineral from volcanic exhalations (Kamchatka, Russia), Zapiski Rossiiskogo Mineralogicheskogo Obshchetstva 134(3), 70-74","monoclinic","3.6E-5","Cu^1+ Cu^2+ Pb^2+ O Se^4+ Cl","Acc"
"Alpersite","MgS^6+^O_4_·7H_2_O","Mg(SO_4_)·7H_2_O","Mg S O H","IMA2003-040","","5245","USA","2003","Approved","Melanterite","melanterite","Peterson R C, Hammarstrom J M, Seal R R (2006) Alpersite (Mg,Cu)SO<sub>4</sub>·7H<sub>2</sub>O, a new mineral of the melanterite group, and cuprian pentahydrite: Their occurrence within mine waste, American Mineralogist 91, 261-269

Chemical formula changed from (Mg,Cu)SO_4_·7H_2_O:
Miyawaki R, Hatert F, Pasero M, Mills S J (2019) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 50. New minerals and nomenclature modifications approved in 2019. Mineralogical Magazine 83, 615-620","monoclinic","2500","Mg S^6+ O H","Aps"
"Althupite","AlTh^4+^(U^6+^O_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O","AlTh(UO_2_)_7_(PO_4_)_4_O_2_(OH)_5_·15H_2_O","Al Th U O P H","IMA1986-003","","845","Democratic Republic of the Congo","1986","Approved","Not in a structural group","phosphuranylite","Piret P, Deliens M (1987) Les phosphates d'uranyle et d'aluminium de Kobokobo IX. L'althupite AlTh(UO<sub>2</sub>)[(UO<sub>2</sub>)<sub>3</sub>O(OH)PO<sub>4</sub>)<sub>2</sub>]<sub>2</sub>(OH)<sub>3</sub>·15H<sub>2</sub>O, nouveau mineral; properties et structures cristalline, Bulletin de Minéralogie 110, 65-72","triclinic","975.3","Al Th^4+ U^6+ O P H","Ahp"
"Aluminite","Al_2_S^6+^O_4_(OH)_4_·7H_2_O","Al_2_(SO_4_)(OH)_4_·7H_2_O","Al S O H","","R060691","847","Germany","1805","Grandfathered|Approved","Aluminite"," ","Haberle C C (1805) IV. Flóz- Trapp- Gebirgsarten, in Beitráge zu einer allgemeinen Einleitung in das Studium der Mineralogie, Berlage des Landes - Industrie - Comptoirs (Weimar) 262, 335","monoclinic","3110","Al S^6+ O H","A"
"Aluminocopiapite","(Al,Mg)Fe^3+^_4_(S^6+^O_4_)_6_(OH,O)_2_·20H_2_O","(Al,Mg)Fe^3+^_4_(SO_4_)_6_(OH,O)_2_·20H_2_O","Al Mg Fe S O H","","","851","USA","1947","Grandfathered|Approved","Copiapite","copiapite","Berry L G (1947) Composition and optics of copiapite, University of Toronto Studies: VI. Geological Series 51, 21-34","triclinic","470","Al Mg Fe^3+ S^6+ O H","Acpi"
"Aluminocoquimbite","Al_2_Fe^3+^_2_(S^6+^O_4_)_6_(H_2_O)_12_·9H_2_O","Al_2_Fe_2_(SO_4_)_6_(H_2_O)_12_·9H_2_O","Al Fe S O H","IMA2009-095","","5826","Italy","2009","Approved","Coquimbite"," ","Demartin F, Castellano C, Gramaccioli C M, Campostrini I (2010) Aluminocoquimbite, AlFe(SO<sub>4</sub>)<sub>3</sub>·9H<sub>2</sub>O, a new aluminum iron sulfate from Grotta dell'Allume, Vulcano, Aeolian Islands, Italy, The Canadian Mineralogist 48, 1465-1468

Chemical formula changed from AlFe(SO_4_)_3_·9H_2_O:
Miyawaki R, Hatert F, Pasero M, Mills S J (2019) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 52. New minerals and nomenclature modifications approved in 2019. Mineralogical Magazine 83, 887-893","hexagonal","","Al Fe^3+ S^6+ O H","Acoq"
