"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Barringerite","Fe_2_P","(Fe,Ni)_2_P","Fe Ni P","IMA1968-037","R070439","1039","Bolivia","1968","Approved","Barringerite"," ","Buseck P R (1969) Phosphide from meteorites: Barringerite, a new iron-nickel mineral, Science 165, 169-171","hexagonal","4620","Fe P","Bgr"
"Baryte","BaS^6+^O_4_","Ba(SO_4_)","Ba S O","","R040036 R050342 R050335 R050375","1033","?","1778","Approved","Baryte","celestine","Bras-de-Fer L (1778) (84) Terre (Élément), in Explication Morale du Jeu de Cartes; Anecdote Curieuse et Interessante, (Bruxelles) 99-100

Spelling of name is formally defined:
International Mineralogical Association (1971) International Mineralogical Association: Commission on new minerals and mineral names, Mineralogical Magazine 38, 102-105","orthorhombic","4567.61","Ba S^6+ O","Brt"
"Beckettite","Ca_2_V^3+^_6_Al_6_O_20_","Ca_2_V_6_Al_6_O_20_","Ca V Al O","IMA2015-001","","6407","Mexico (meteorite)","2015","Approved","Sapphirine"," ","Ma C, Paque J, Tschauner O (2016) Discovery of beckettite, Ca_2_V_6_Al_6_O_20_, a new alteration mineral in a V-rich Ca-Al-rich inclusion from Allende. Lunar and Planetary Science 47, 1704-1704

","triclinic","4567.61","Ca V^3+ Al O","Bek"
"Beidellite","(Na,Ca)_0.3_Al_2_(Si,Al)_4_O_10_(OH)_2_·nH_2_O","(Na,Ca)_0.3_Al_2_(Si,Al)_4_O_10_(OH)_2_·nH_2_O","Na Ca Al Si O H","","R070244","1077","USA","1925","Grandfathered|Approved","Clay, Smectite-vermiculite","smectite","Larsen E S, Wherry E T (1925) Beidellite, a new mineral name, Journal of the Washington Academy of Sciences 15, 465-466","unknown","2050","Na Ca Al Si O H","Bei"
"Berthierine","(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_","(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_","Fe Al Si O H","","R110177","1106","France","1832","Grandfathered|Approved","Serpentine, Clay","kaolinite-serpentine-serpentine subgroup","Beudant F S (1832) Berthiérine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 128-129","orthorhombic","2810","Fe^2+ Fe^3+ Al Si O H","Brh"
"Beusite","Mn^2+^Mn^2+^_2_(PO_4_)_2_","Mn^2+^Mn^2+^_2_(PO_4_)_2_","Mn P O","IMA1968-012","","1119","Argentina","1968","Approved","Graftonite"," ","Hurlbut C S, Aristarain L F (1968) Beusite, a new mineral from Argentina, and the graftonite-beusite series, American Mineralogist 53, 1799-1814

Chemical formula changed from Mn^2+^Fe^2+^_2_(PO_4_)_2_:
Hålenius U, Hatert F, Pasero M, Mills S J (2017) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 36. New minerals and nomenclature modifications approved in 2017. European Journal of Mineralogy 29, 339-344","monoclinic","2772","Mn^2+ P O","Beu"
"Bornite","Cu^1+^_5_Fe^3+^S^2-^_4_","Cu_5_FeS_4_","Cu Fe S","IMA1962 s.p.","R050322 R070636","1183","?","1845","Approved"," "," ","Haidinger W (1845) Zweite Klasse: Geogenide. XIII. Ordnung. Kiese. V. Kupperkies. Bornit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 559-562","cubic|orthorhombic, hexagonal","4000","Cu^1+ Fe^3+ S^2-","Bn"
"Brezinaite","Cr^2+^Cr^3+^_2_S^2-^_4_","Cr_3_S_4_","Cr S","IMA1969-004","R070042","1217","USA","1969","Approved","Wilkmanite","wilkmanite","Bunch T E, Fuchs L H (1969) A new mineral: brezinaite, Cr<sub>3</sub>S<sub>4</sub>, and the Tucson meteorite, American Mineralogist 54, 1509-1518","monoclinic","","Cr^2+ Cr^3+ S^2-","Bzn"
"Brianite","Na_2_CaMg(PO_4_)_2_","Na_2_CaMg(PO_4_)_2_","Na Ca Mg P O","IMA1966-030","","1218","USA","1966","Approved","Aphthitalite"," ","Fuchs L H, Olsen E, Henderson E P (1967) On the occurrence of brianite and panethite, two new phosphate minerals from the Dayton meteorite, Geochimica et Cosmochimica Acta 31, 1711-1719","monoclinic|orthorhombic","","Na Ca Mg P O","Bne"
"Bridgmanite","MgSiO_3_","MgSiO_3_","Mg Si O","IMA2014-017","R210006","6334","Australia (meteorite)","2014","Approved","Perovskite"," ","Tschauner O, Ma C, Beckett J R, Prescher C, Prakapenka V B, Rossman G R (2014) Discovery of bridgmanite, the most abundant mineral in Earth, in a shocked meteorite. Science 346, 1100-1102","orthorhombic","","Mg Si O","Bdm"
"Browneite","Mn^2+^S^2-^","MnS","Mn S","IMA2012-008","","6064","Poland (meteorite)","2012","Approved","Sphalerite"," ","Ma C, Beckett J R, Rossman G R (2012) Browneite, MnS, a new sphalerite-group mineral from the Zakłodzie meteorite, American Mineralogist 97, 2056-2059","cubic","","Mn^2+ S^2-","Bw"
"Brucite","Mg(OH)_2_","Mg(OH)_2_","Mg O H","","R040077 R050455","1235","USA","1818","Grandfathered|Approved","Brucite","brucite","Silliman B (1818) Scientific Intelligence. Brucite, The American Journal of Science 1, 439-439","hexagonal","2742","Mg O H","Brc"
"Buchwaldite","NaCaPO_4_","NaCa(PO_4_)","Na Ca P O","IMA1975-041","","1240","Denmark (Greenland)","1975","Approved","Aphthitalite","triphylite","Olsen E, Erlichman J, Bunch T E, Moore P B (1977) Buchwaldite, a new meteoritic phosphate mineral, American Mineralogist 62, 362-364","orthorhombic","","Na Ca P O","Bwa"
"Buseckite","(Fe^2+^,Zn^2+^,Mn^2+^)S^2-^","(Fe,Zn,Mn)S","Fe Zn Mn S","IMA2011-070","R130007","6013","Poland (meteorite)","2011","Approved","Wurtzite"," ","Ma C, Beckett J R, Rossman G R (2012) Buseckite, (Fe,Zn,Mn)S, a new mineral from the Zaklodzie meteorite. American Mineralogist 97, 1226-1233","hexagonal","","Fe^2+ Zn^2+ Mn^2+ S^2-","Bsc"
"Butianite","Ni_6_SnS_2_","Ni_6_SnS_2_","Ni Sn S","IMA2016-028","","6556","Mexico (meteorite)","2016","Approved","Nuwaite"," ","Ma C, Beckett J R (2018) Nuwaite (Ni_6_GeS_2_) and butianite (Ni_6_SnS_2_), two new minerals from the Allende meteorite: Alteration products in the early solar system. American Mineralogist 103, 1918-1924","tetragonal","4567.61","Ni Sn S","But"
"Calcite","CaCO_3_","Ca(CO_3_)","Ca C O","","R040070 R040170 R050048 R050009 R050127 R050128 R050130 R050307 R150020 R150075","1289","unknown","0","Grandfathered|Approved","Calcite","calcite","Mineral known since antiquity under a number of names, but it appears to have first been called calcite in this publication:
Freiesleben J C (1836) Calcit, Magazin für die Oryktographie von Sachsen 7, 118-121","hexagonal","4700","Ca C O","Cal"
"Carletonmooreite","Ni_3_Si","Ni_3_Si","Ni Si","IMA2018-068","","6800","USA (meteorite)","2018","Pending publication|Approved"," "," ","Ma, C., Garvie, L.A.J. and Wittmann, A. (2018) Carletonmooreite, IMA 2018-068. CNMNC Newsletter No. 45, October 2018, page xxx; Mineralogical Magazine, 82, xxx-xxx","cubic","","Ni Si","Cmo"
"Carlsbergite","Cr^3+^N^3-^","CrN","Cr N","IMA1971-026","","1334","Denmark (Greenland)","1971","Approved","Rocksalt"," ","Buchwald V F, Scott E R D (1971) First nitride (CrN) in iron meteorites, Nature Physical Science 233, 113-114","cubic","4620","Cr^3+ N^3-","Cbg"
"Caswellsilverite","NaCr^3+^S^2-^_2_","NaCrS_2_","Na Cr S","IMA1981-012","","1350","USA","1981","Approved","Scacchite"," ","Okada A, Keil K (1982) Caswellsilverite, NaCrS<sub>2</sub>: a new mineral in the Norton County enstatite achondrite, American Mineralogist 67, 132-136","hexagonal","","Na Cr^3+ S^2-","Cws"
"Celsian","BaAl_2_Si_2_O_8_","Ba(Al_2_Si_2_O_8_)","Ba Al Si O","","R060152 R060460","1363","Sweden","1895","Grandfathered|Approved","Feldspar","feldspar","Sjögren H (1895) Celsian, en anorthiten motsvarande bariumfältspat från Jakobsberg. Preliminärt meddelande, Geologiska Föreningens i Stockholm Förhandlingar 17, 578-582","monoclinic","2500","Ba Al Si O","Cls"
"Chamosite","Fe^2+^_5_Al(AlSi_3_O_10_)(OH)_8_","(Fe^2+^,Mg,Al,Fe^3+^)_6_(Si,Al)_4_O_10_(OH,O)_8_","Fe Mg Al Si O H","","R060188 R070728","1405","Switzerland","1820","Grandfathered|Approved","Chlorite, Clay","chlorite","Berthier M P (1820) Sur la nature du minerai de fer magnétique de Chamoison (Valais), Annales des Mines 5, 393-396","triclinic|monoclinic","2858","Fe^2+ Al Si O H","Chm"
"Chaoite","C","C","C","IMA1968-019","","1410","Germany","1968","Approved"," "," ","El Goresy A, Donnay G (1968) A new allotropic form of carbon from the Ries Crater. Science 161, 363-364","hexagonal","4563","C","Ch"
"Chenmingite","Fe^2+^Cr^3+^_2_O_4_","FeCr_2_O_4_","Fe Cr O","IMA2017-036","","6673","Morocco (meteorite)","2017","Approved"," "," ","Ma C, Tschauner O, Beckett J R, Liu Y, Greenberg E, Prakapenka V B (2019) Chenmingite, FeCr_2_O_4_ in the CaFe_2_O_4_-type structure, a shock-induced, high-pressure mineral in the Tissint martian meteorite. American Mineralogist 104, 1521-1525","orthorhombic","","Fe^2+ Cr^3+ O","Cnm"
"Chihuahuaite","Fe^2+^Al_12_O_19_","FeAl_12_O_19_","Fe Al O","IMA2009-027, IMA2020 s.p.","","5754","Mexico (meteorite)","2009","Approved|Renamed","Plumboferrite"," ","Ma C (2010) Hibonite-(Fe), (Fe,Mg)Al_12_O_19_, a new alteration mineral from the Allende meteorite, American Mineralogist 95, 188-191

Chemical formula changed from (Fe,Mg)Al_12_O_19_:
Miyawaki R, Hatert F, Pasero M, Mills S J (2019) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 50. New minerals and nomenclature modifications approved in 2019. Mineralogical Magazine 83, 615-620

Name changed from Hibonite-(Fe):
Miyawaki R, Hatert F, Pasero M, Mills S J (2020) IMA Commission on New Minerals, Nomenclature and Classification (CNMNC) Newsletter 54. Mineralogical Magazine 84, 359-365","hexagonal","4567.61","Fe^2+ Al O","Cih"
"Chladniite","Na_2_CaMg_7_(PO_4_)_6_","Na_2_CaMg_7_(PO_4_)_6_","Na Ca Mg P O","IMA1993-010","","1438","USA","1993","Approved","Fillowite","fillowite","McCoy T J, Steele I M, Keil K, Leonard B F, Endreβ M (1994) Chladniite, Na<sub>2</sub>CaMg<sub>7</sub>(PO<sub>4</sub>)<sub>6</sub>: A new mineral from the Carlton (IIICD) iron meteorite, American Mineralogist 79, 375-380","hexagonal","390","Na Ca Mg P O","Clad"
"Chlorapatite","Ca_5_(PO_4_)_3_Cl","Ca_5_(PO_4_)_3_Cl","Ca P O Cl","IMA2010 s.p.","R060192","1440","Austria / Germany / Spain / Switzerland","1860","Approved|Renamed","Apatite","apatite","Rose G (1827) Ueber die chemische Zusammensetzung der Apatite. Annalen der Physik und Chemie 85, 185-214 

Name changed from chlorapatite to apatite-(CaCl):
Burke E A J (2008) Tidying up mineral names: an IMA-CNMNC scheme for suffixes, hyphens and diacritical marks, The Mineralogical Record 39, 131-135

Name changed from apatite-(CaCl) back to chlorapatite. The monoclinic variant is defined as chlorapatite-M and is not a distinct species:
Pasero M, Kampf A R, Ferraris C, Pekov I V, Rakovan J R, White T J (2010) Nomenclature of the apatite supergroup minerals, European Journal of Mineralogy 22, 163-179","hexagonal|monoclinic","4330","Ca P O Cl","Clap"
"Chlormayenite","Ca_12_Al_14_O_32_[[box]_4_Cl_2_]","Ca_12_Al_14_O_32_[[box]_4_Cl_2_]","Ca Al O Cl","IMA1963-016","R130063 R140780","3057","Germany","1963","Approved|Redefined","Mayenite"," ","Hentschel G (1964) Mayenit, 12CaO·7Al_2_O_3_, und brownmillerit, 2CaO·(Al,Fe)_2_O_3_, zwei neue minerale in den kalksteinschlüssen der lava des Ettringer Bellerberges, Neues Jahrbuch für Mineralogie, Monatshefte 1, 22-29

Name changed from mayenite:
Williams P A, Hatert F, Pasero M, Mills S J (2014) IMA Commission on new minerals, nomenclature and classification (CNMNC) Newsletter 20. New minerals and nomenclature modifications approved in 2014. Mineralogical Magazine 78, 549-558","cubic","354","Ca Al O Cl","Cmy"
"Chopinite","Mg_3_(PO_4_)_2_","Mg_3_(PO_4_)_2_","Mg P O","IMA2006-004","","5524","Antarctica","2006","Approved","Olivine-Sarcopside"," ","Grew E S, Armbruster T, Medenbach O, Yates M G, Carson C J (2007) Chopinite, [(Mg,Fe)<sub>3</sub>](PO<sub>4</sub>)<sub>2</sub>, a new mineral isostructural with sarcopside, from fluorapatite segregation in granulite-facies paragneiss, Larsemann Hills, Prydz Bay, East Antarctica, European Journal of Mineralogy 19, 229-245","monoclinic","","Mg P O","Cpn"
"Chromite","Fe^2+^Cr^3+^_2_O_4_","Fe^2+^Cr_2_O_4_","Fe Cr O","","R110059 R110060","1463","France","1845","Grandfathered|Approved","Spinel","spinel","The mineral, while previously known, was named in this publication:
Haidinger W (1845) Chromit, in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 550-550","cubic","4700","Fe^2+ Cr^3+ O","Chr"
"Cinnabar","HgS","HgS","Hg S","","R050072 R070532","1478","unknown","0","Grandfathered|Approved"," "," ","Theophrastus (315 BC) Cinnabar, in On Stones translated by Caley E R and Richards J F C 1956, Ohio State University (Columbus, Ohio)","hexagonal","4000","Hg S","Cin"
"Clinochlore","Mg_5_Al(AlSi_3_O_10_)(OH)_8_","Mg_5_Al(AlSi_3_O_10_)(OH)_8_","Mg Al Si O H","","R060725 R061080 R150146","1495","USA","1851","Grandfathered|Approved","Chlorite, Clay","chlorite","Blake W P (1851) Optical and blowpipe examination of the supposed chlorite of Chester County, Pa., American Journal of Science and Arts 12, 339-341

Chemical formula revised from Mg<sub>6</sub>Si<sub>4</sub>O<sub>10</sub>(OH)<sub>8</sub> after:
Zanazzi P F, Comodi P, Nazzareni S, Andreozzi G B (2009) Thermal behaviour of chlorite: an in situ single-crystal and powder diffraction study, European Journal of Mineralogy 21, 581-589","triclinic|monoclinic","3100","Mg Al Si O H","Clc"
"Clinoenstatite","MgSiO_3_","Mg_2_Si_2_O_6_","Mg Si O","","R070276","1498","Romania (meteorite)","1906","Approved","Pyroxene","pyroxene","Originally named klinoenstatit:
Wahl W (1906) Zur nomenklatur, in Die Enstatitaugite, (PhD dissertation), 151 pages, University of Helsinki (Finland) 137-141","monoclinic","4700","Mg Si O","Cen"
"Clintonite","CaAlMg_2_(SiAl_3_)O_10_(OH)_2_","CaAlMg_2_(SiAl_3_O_10_)(OH)_2_","Ca Al Mg Si O H","","R070196 R070197 R070229","1514","USA","1843","Approved","Mica, Clay","mica-brittle micas","Mather W W (1843) Metamorphic rocks of the highlands, and of Saratoga and Washington counties, in Geology of New York Part 1. Comprising the Geology of the First Geological District, Carroll and Cook (Albany) 467-467","monoclinic","4567.61","Ca Al Mg Si O H","Cln"
"Coesite","SiO_2_","SiO_2_","Si O","","R070565","1530","USA","1954","Approved","Not in a structural group"," ","The silica polymorph is named:
Sosman R B (1954) New high-pressure phases of silica, Science 119, 738-739

The mineral is found in nature:
Chao E C T, Shoemaker E M, Madsen B M (1960) First natural occurrence of coesite, Science 132, 220-222","monoclinic","2050","Si O","Coe"
"Cohenite","Fe_3_C","CFe_3_","C Fe","","R100076","1532","Slovakia","1889","Grandfathered|Approved","Perovskite"," ","Weinschenk E (1889) Ueber einige bestandtheile de meteoreisens von Magura, Arva, Ungarn, Annalen des Kaiserlich-Königlichen Naturhistorischen Hofmuseums 4, 93-101","orthorhombic","4620","Fe C","Coh"
"Copper","Cu","Cu","Cu","","R061078 R070329","1550","unknown","0","Grandfathered|Approved","Copper","copper","Mineral name has been known since antiquity and predates any formal descriptive publication.","cubic","4000","Cu","Cu"
"Cordierite","Mg_2_Al_3_(AlSi_5_)O_18_","Mg_2_Al_4_Si_5_O_18_","Mg Al Si O","","R040081 R040082 R040084 R100141 R100150","1554","Germany ?","1813","Grandfathered|Approved","Beryl"," ","Lucas J A H (1813) XIII. Cordierite (Iolithe), in Tableau Méthodique Espèces Minérales, Seconde Partie, D'Hautel (Paris) 219-222","orthorhombic","4000","Mg Al Si O","Crd"
"Corundum","Al_2_O_3_","Al_2_O_3_","Al O","","R040096 R060020 RS899436 RS570316 RS796049 RS863332 R100131 R100142 R110096 R110097 R110098 R110099 R110110 R110111 R110116 R110117 R110119 RS812608","1562","India ?","0","Grandfathered|Approved","Corundum","hematite","Mineral name has been known since antiquity and predates any formal descriptive publication.","hexagonal","4700","Al O","Crn"
"Coulsonite","Fe^2+^V^3+^_2_O_4_","Fe^2+^V^3+^_2_O_4_","Fe V O","","","1568","India","1937","Approved|Redefined","Spinel","spinel","Dunn J A (1937) Coulsonite, Memoirs of the Geological Survey of India 69, 21-21","cubic","4568.5","Fe^2+ V^3+ O","Cou"
