"Mineral Name","RRUFF Chemistry (concise)","IMA Chemistry (concise)","Chemistry Elements","IMA Number","RRUFF IDs","Database ID","Country of Type Locality","Year First Published","IMA Status","Structural Groupname","Fleischers Groupname","Status Notes","Crystal Systems","Oldest Known Age (Ma)","Valence Elements","IMA Mineral Symbol"
"Ankerite","CaFe^2+^(CO_3_)_2_","Ca(Fe^2+^,Mg)(CO_3_)_2_","Ca Fe Mg C O","","R050181 R050197","895","Austria","1825","Grandfathered|Approved","Dolomite","dolomite","Mineral is named:
Mohs F (1825) Characters of the genera and species of the orders of class II. I. Order. Haloide. V. Lime-haloide. 4. Paratomous. Ankerite, in Treatise on Mineralogy Vol I, translated by Haidinger, Archibald and Co. (Edinburgh) 411-411

Mineral is described:
Mohs F (1825) Paratomous lime-haloide, in Treatise on Mineralogy Vol II, translated by Haidinger, Archibald and Co. (Edinburgh) 100-101","hexagonal","4000","Ca Fe^2+ C O","Ank"
"Antigorite","Mg_3_Si_2_O_5_(OH)_4_","Mg_3_Si_2_O_5_(OH)_4_","Mg Si O H","","R070228","904","Italy / Switzerland","1840","Approved|Redefined","Serpentine, Clay","kaolinite-serpentine-kaolinite subgroup","Schweizer E (1840) Ueber den antigorit, ein neues mineral, Annalen der Physik und Chemie 19, 595-599","monoclinic","4700","Mg Si O H","Atg"
"Aragonite","CaCO_3_","Ca(CO_3_)","Ca C O","","R040078 R060195 R080142 R150021","916","Spain","1788","Grandfathered|Approved","Aragonite","aragonite","Mineral known earlier, but named arragonischer apatit by Werner:
Werner A G (1788) Geschichte, Karakteristik, und kurze chemische Untersuchung des Apatits. IV. Kurze Nachricht von den sogenannten arragonischen Apatiten, Bergmannisches Journal 1, 76-96

Renamed arragonite:
Hauy C (1791) Sur l'arragonite de Werner, Bulletin des Science, par la Société Philomathique 2, 67-68","orthorhombic","4700","Ca C O","Arg"
"Arcanite","K_2_S^6+^O_4_","K_2_(SO_4_)","K S O","","","920","USA","1845","Grandfathered|Approved","Arcanite"," ","Haidinger W (1845) Erste Klasse: Akrogenide. IV. Ordnung. Salze. XIII. Pikrochylinsalz. Arcanit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 487-492","orthorhombic","354","K S^6+ O","Acn"
"Arfvedsonite","NaNa_2_(Fe^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_","NaNa_2_(Fe^2+^_4_Fe^3+^)Si_8_O_22_(OH)_2_","Na Fe Si O H","","R040127 R050514 R110049","927","Denmark (Greenland)","1823","Approved|Redefined","Amphibole","amphibole-group 4 Na","Brooke H J (1823) A description of the crystalline form of some new minerals. Arfwedsonite, The Annals of Philosophy 5, 381-384","monoclinic","2500","Na Fe^2+ Fe^3+ Si O H","Arf"
"Arsenopyrite","Fe^3+^(AsS)^3-^","FeAsS","Fe As S","","R050071 R061082 R070585","955","?","1847","Approved","Arsenopyrite","arsenopyrite","The mineral was known before this publication, but under other names, such as mispickel:
Glocker E F (1847) Ordo VI. Pyritae. Pyrite. III. Pyritae arsenopyritoidei. 10. Arsenopyrites., in Generum et Specierum Mineralium, Secundum Ordines Naturales Digestorum Synopsis, Apud Eduardum Anton 34-43","monoclinic|triclinic","4000","Fe^3+ As S","Apy"
"Artinite","Mg_2_CO_3_(OH)_2_·3H_2_O","Mg_2_(CO_3_)(OH)_2_·3H_2_O","Mg C O H","","R060166 R060234","962","Italy","1902","Grandfathered|Approved","Artinite"," ","Brugnatelli S C L (1902) Sopra un nuovo minerale delle cave d'Amianto della Valle Lanterna, Rendiconti Reale Istituto Lombardo di Scienze e Lettere (Milano) 35, 869-874","monoclinic","2000","Mg C O H","Art"
"Asbolane","Mn^4+^(O,OH)_2_·(Co^3+^,Ni^2+^,Mg,Ca)_x_(OH)_2x_·nH_2_O","Mn^4+^(O,OH)_2_·(Co,Ni,Mg,Ca)_x_(OH)_2x_·nH_2_O","Mn O H Co Ni Mg Ca","","R070306 R070359","968","?","1841","Grandfathered|Approved","Not in a structural group"," ","Breithaupt A (1841) Genus 8. Maurites. Species 1. Maurites, Asbolanus kürzer, Asbolan, in Vollständiges Handbuch der Mineralogie, Volume 2, Arnoldische Buchhandlung (Dresden und Leipzig) 332-334","hexagonal","2211","Mn^4+ O H Co^3+ Ni^2+ Mg Ca","Asb"
"Atacamite","Cu^2+^_2_Cl(OH)_3_","Cu_2_Cl(OH)_3_","Cu Cl O H","","R050098","978","Chile","1803","Grandfathered|Approved","Atacamite","atacamite","Blumenbach J F (1797) Kupfergeschlecht Atacamit. in Handbuch der Naturgeschichte, Johann Christian Dieterich (Göttingen) 660-660","orthorhombic","3200","Cu^2+ Cl O H","Ata"
"Atokite","Pd_3_Sn","Pd_3_Sn","Pd Sn","IMA1974-041","","983","South Africa","1974","Approved","Perovskite, Auricupride","zvyagintsevite","Mihálik P, Hiemstra S A, De Villiers J P R (1975) Rustenburgite and atokite, two new platinum-group minerals from the Merensky Reef, Bushveld igneous complex, The Canadian Mineralogist 13, 146-150","cubic","2906","Pd Sn","Ato"
"Awaruite","Ni_3_Fe","Ni_3_Fe","Ni Fe","","R061020 R070671","997","New Zealand","1885","Grandfathered|Approved","Perovskite, Auricupride"," ","Skey W (1885) On a new mineral (awaruite) from Barn Bay, Transactions and Proceedings of the New Zealand Institute 18, 401-402","cubic","4620","Ni Fe","Awr"
"Balangeroite","Mg_21_Si_8_O_27_(OH)_20_","Mg_21_Si_8_O_27_(OH)_20_","Mg Si O H","IMA1982-002","R060244","1011","Italy","1982","Approved"," "," ","Compagnoni R, Ferraris G, Fiora L (1983) Balangeroite, a new fibrous silicate related to gageite from Balangero, Italy, American Mineralogist 68, 214-219","monoclinic|unknown, triclinic, orthorhombic","38","Mg Si O H","Bal"
"Barquillite","Cu^1+^_2_Cd^2+^Ge^4+^S^2-^_4_","Cu_2_(Cd,Fe)GeS_4_","Cu Cd Fe Ge S","IMA1996-050","","1037","Spain","1996","Approved","Sphalerite, Stannite","stannite","Murciego A, Pascua M I, Babkine J, Dusausoy Y, Medenbach O, Bernhardt H J (1999) Barquillite, Cu<sub>2</sub>(Cd,Fe)GeS<sub>4</sub>, a new mineral from the Barquilla deposit, Salamanca, Spain, European Journal of Mineralogy 11, 111-117","tetragonal","","Cu^1+ Cd^2+ Ge^4+ S^2-","Bql"
"Baryte","BaS^6+^O_4_","Ba(SO_4_)","Ba S O","","R040036 R050342 R050335 R050375","1033","?","1778","Approved","Baryte","celestine","Bras-de-Fer L (1778) (84) Terre (Élément), in Explication Morale du Jeu de Cartes; Anecdote Curieuse et Interessante, (Bruxelles) 99-100

Spelling of name is formally defined:
International Mineralogical Association (1971) International Mineralogical Association: Commission on new minerals and mineral names, Mineralogical Magazine 38, 102-105","orthorhombic","4567.61","Ba S^6+ O","Brt"
"Berthierine","(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_","(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_","Fe Al Si O H","","R110177","1106","France","1832","Grandfathered|Approved","Serpentine, Clay","kaolinite-serpentine-serpentine subgroup","Beudant F S (1832) Berthiérine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 128-129","orthorhombic","2810","Fe^2+ Fe^3+ Al Si O H","Brh"
"Bismuthinite","Bi^3+^_2_S^2-^_3_","Bi_2_S_3_","Bi S","","R061077 R070533 R070617","1141","?","1832","Grandfathered|Approved","Stibnite","stibnite","Beudant F S (1832) Sulfures de bismuth. Bismuthine, in Traité Élémentaire de Minéralogie, 2nd Edition, (Paris) 418-421","orthorhombic","4000","Bi^3+ S^2-","Bin"
"Bornite","Cu^1+^_5_Fe^3+^S^2-^_4_","Cu_5_FeS_4_","Cu Fe S","IMA1962 s.p.","R050322 R070636","1183","?","1845","Approved"," "," ","Haidinger W (1845) Zweite Klasse: Geogenide. XIII. Ordnung. Kiese. V. Kupperkies. Bornit., in Handbuch der Bestimmenden Mineralogie, Bei Braumüller and Seidel (Wien) 559-562","cubic|orthorhombic, hexagonal","4000","Cu^1+ Fe^3+ S^2-","Bn"
"Bosoite","SiO_2_·<i>n</i>C_x_H_2x+2_","SiO_2_·nC_x_H_2x+2_","Si O C H","IMA2014-023","","6328","Japan","2014","Approved"," "," ","Momma K, Ikeda T, Nagase T, Kuribayashi T, Honma C, Nishikubo A, Takahashi N, Takada M, Matsushita Y, Miyawaki R, Matsubara S (2020) Bosoite, a new silica clathrate mineral from Chiba Prefecture, Japan. Mineralogical Magazine 84, 941-948","hexagonal","23","Si O C H","Bs"
"Botallackite","Cu^2+^_2_Cl(OH)_3_","Cu_2_Cl(OH)_3_","Cu Cl O H","","R070066 R080012","1189","United Kingdom","1865","Grandfathered|Approved","Atacamite"," ","Church A H (1865) Notes on a Cornish mineral of the atacamite group, Journal of the Chemical Society 18, 212-214","monoclinic","1600","Cu^2+ Cl O H","Blk"
"Boussingaultite","(N^3-^H_4_)_2_Mg(S^6+^O_4_)_2_·6H_2_O","(NH_4_)_2_Mg(SO_4_)_2_·6H_2_O","N H Mg S O","","R061027 R070597","1194","Italy","1864","Grandfathered|Approved","Picromerite","picromerite","Bechi E (1864) Mémoire sur les soffioni boracifères de Travale, en Toscane, Comptes Rendus Hebdomadaires des Séances de l’Académie des Sciences 58, 583-584","monoclinic","1000","N^3- H Mg S^6+ O","Bsg"
"Bowieite","Rh^3+^_2_S^2-^_3_","Rh_2_S_3_","Rh S","IMA1980-022","R070409","1195","USA","1980","Approved","Bowieite"," ","Desborough G A, Criddle A J (1984) Bowieite: A new rhodium-iridium-platinum sulfide in platinum-alloy nuggets, Goodnews Bay, Alaska, The Canadian Mineralogist 22, 543-552","orthorhombic","2058","Rh^3+ S^2-","Bow"
"Bowlesite","PtSnS","PtSnS","Pt Sn S","IMA2019-079","","6963","South Africa","2019","Approved","Cobaltite"," ","Vymazalová A, Zaccarini F, Garuti G, Laufek F, Mauro D, Stanley C J, Biagoni C (2020) Bowlesite, PtSnS, a new platinum group mineral (PGM) from the Merensky Reef of the Bushveld Complex, South Africa. Mineralogical Magazine 84, 468-476","orthorhombic","","Pt Sn S","Bwl"
"Braggite","PtS","PtS","Pt S","","R070567","1202","South Africa","1932","Grandfathered|Approved"," ","cooperite","Bannister F A, Hey M H (1932) Determination of minerals in platinum concentrates from the Transvaal by X-ray methods, Mineralogical Magazine 23, 188-208","tetragonal","3254","Pt S","Bg"
"Briartite","Cu^1+^_2_Fe^2+^Ge^4+^S^2-^_4_","Cu_2_FeGeS_4_","Cu Fe Ge S","IMA1965-018","","1221","Democratic Republic of the Congo","1965","Approved","Sphalerite, Stannite","stannite","Francotte J, Moreau J, Ottenburgs R (1965) La briartite, Cu<sub>2</sub>(Fe,Zn)GeS<sub>4</sub>, une nouvelle espèce minérale, Bulletin de la Société Française de Minéralogie et de Cristallographie 88, 432-437","tetragonal","765","Cu^1+ Fe^2+ Ge^4+ S^2-","Btt"
"Brucite","Mg(OH)_2_","Mg(OH)_2_","Mg O H","","R040077 R050455","1235","USA","1818","Grandfathered|Approved","Brucite","brucite","Silliman B (1818) Scientific Intelligence. Brucite, The American Journal of Science 1, 439-439","hexagonal","2742","Mg O H","Brc"
"Brugnatellite","Mg_6_Fe^3+^CO_3_(OH)_13_·4H_2_O","Mg_6_Fe^3+^(CO_3_)(OH)_13_·4H_2_O","Mg Fe C O H","","","1237","Italy","1909","Questionable mineral species|Approved","Hydrotalcite","manasseite","Artini E (1909) Brugnatellite; nuova specie minerale trovata in Val Malenco, Rendiconti delle sedute Della Reale Accademia Dei Lincei 18, 3-6","hexagonal","2046","Mg Fe^3+ C O H","Bug"
"Bunsenite","Ni^2+^O","NiO","Ni O","","R080121","1248","Germany","1868","Grandfathered|Approved","Rocksalt","periclase","Dana J D, Brush G J (1868) Bunsenite, in A System of Mineralogy, Fifth Edition, John Wiley and Sons (New York) 134-135","cubic","3640","Ni^2+ O","Bse"
"Calcite","CaCO_3_","Ca(CO_3_)","Ca C O","","R040070 R040170 R050048 R050009 R050127 R050128 R050130 R050307 R150020 R150075","1289","unknown","0","Grandfathered|Approved","Calcite","calcite","Mineral known since antiquity under a number of names, but it appears to have first been called calcite in this publication:
Freiesleben J C (1836) Calcit, Magazin für die Oryktographie von Sachsen 7, 118-121","hexagonal","4700","Ca C O","Cal"
"Caminite","Mg_7_(S^6+^O_4_)_5_(OH)_4_·H_2_O","Mg_7_(SO_4_)_5_(OH)_4_·H_2_O","Mg S O H","IMA1983-015","","1304","Pacific Ocean","1983","Approved","Lipscombite"," ","Haymon R M, Kastner M (1986) Caminite: A new magnesium-hydroxide-sulfate-hydrate mineral found in a submarine hydrothermal deposit, East Pacific Rise, 21°N, American Mineralogist 71, 819-825 ","tetragonal","","Mg S^6+ O H","Cmi"
"Cannizzarite","Pb^2+^_8_Bi^3+^_10_S^2-^_23_","Pb_8_Bi_10_S_23_","Pb Bi S","","R060609","1313","Italy","1924","Grandfathered|Approved"," "," ","Zambonini F, de Fiore O, Carobbi G (1924) Su un solfobismutito di piombo di Vulcano (Isole Eolie), Annali dell'Osservatorio Vesuviano 1, 31-36

Discredited as being bismuthinite or galenobismutite:
Wolfe C W (1938) Cannizzarite and bismuthinite from Vulcano, American Mineralogist 23, 790-798

Redefined:
Graham A R, Thompson R M, Berry L G (1953) Studies on mineral sulpho-salts: XVII - Cannizzarite, American Mineralogist 38, 536-544

Chemical formula revised:
Matzat E (1979) Cannizzarite, Acta Crystallographica B35, 133-136

Chemical formula revised again:
Mozgova N N, Kuzmina O V, Organova N I, Laputina I P, Borodaev Y S, Fornaseri M (1985) New data on sulphosalt assemblages at Vulcano (Italy), Rendiconti della Società Italiana di Mineralogia e Petrologia 40, 277-283","monoclinic","1800","Pb^2+ Bi^3+ S^2-","Cnz"
"Carpathite","C_24_H_12_","C_24_H_12_","C H","","R060162 R060660","4976","Ukraine","1955","Approved"," "," ","Piotrovsky G L (1955) Karpatite - a new organic mineral from Transcarpathia, Mineralogicheskii Sbornik 9, 120-127","monoclinic","5.3","C H","Cpa"
"Cattierite","Co^2+^(S_2_)^2-^","CoS_2_","Co S","","R061039","1352","Democratic Republic of the Congo","1945","Grandfathered|Approved","Pyrite","pyrite","Kerr P F (1945) Cattierite and vaesite: New Co-Ni minerals from the Belgian Congo, American Mineralogist 30, 483-497 ","cubic","2716","Co^2+ S","Cat"
"Cavansite","CaV^4+^OSi_4_O_10_·4H_2_O","Ca(V^4+^O)(Si_4_O_10_)·4H_2_O","Ca V O Si H","IMA1967-019","R050400","1354","USA","1967","Approved"," "," ","Staples L W, Evans H T, Lindsay J R (1973) Cavansite and pentagonite, new dimorphous calcium vanadium silicate minerals from Oregon, American Mineralogist 58, 405-411","orthorhombic","","Ca V^4+ O Si H","Cav"
"Celadonite","KMgFe^3+^Si_4_O_10_(OH)_2_","KMgFe^3+^Si_4_O_10_(OH)_2_","K Mg Fe Si O H","","","1361","Italy","1847","Approved","Mica, Clay","mica-true micas","Glocker E F (1847) II. Argillitae pingues. 20. Seladonites., in Generum et Specierum Mineralium, Secundum Ordines Naturales Digestorum Synopsis, Apud Eduardum Anton 185-195","monoclinic","1846","K Mg Fe^3+ Si O H","Cel"
"Celestine","SrS^6+^O_4_","Sr(SO_4_)","Sr S O","","R040007 R050008","1362","USA","1778","Approved","Baryte","celestine","Mineral name has been known since antiquity and predates any formal descriptive publication. For instance, it is mentioned in:
Bras-de-Fer L (1778) (84) Terre (Élément)","orthorhombic","2742","Sr S^6+ O","Clt"
"Černýite","Cu^1+^_2_Cd^2+^Sn^4+^S^2-^_4_","Cu_2_CdSnS_4_","Cu Cd Sn S","IMA1976-057","R070179","1369","Canada","1976","Approved","Sphalerite, Stannite","stannite","Kissin S A, Owens D R, Roberts W L (1978) Cernýite, a copper-cadmium-tin sulfide with the stannite structure, The Canadian Mineralogist 16, 139-146","tetragonal","2644","Cu^1+ Cd^2+ Sn^4+ S^2-","Čný"
"Chabazite-Ca","Ca_2_Al_4_Si_8_O_24_·13H_2_O","Ca_2_[Al_4_Si_8_O_24_]·13H_2_O","Ca Al Si O H","","R050014 R050075 R061096 R070353","1384","Italy","1792","Approved","Chabazite","zeolite-chabazite series","Bosc D'Antic L (1792) Mémoire sur la chabazie, Journal d'Histoire Naturelle 2, 181-184

Name changed from chabazite:
Coombs D S, Alberti A, Armbruster T, Artioli G, Colella C, Galli E, Grice J D, Liebau F, Mandarino J A, Minato H, Nickel E H, Passaglia E, Peacor D R, Quartieri S, Rinaldi R, Ross M, Sheppard R A, Tillmanns E, Vezzalini G, (1997) Recommended nomenclature for zeolite minerals: report of the subcommittee on zeolites of the International Mineralogical Association, commission on new minerals and mineral names, The Canadian Mineralogist 35, 1571-1606","hexagonal|trigonal, triclinic","2000","Ca Al Si O H","Cbz-Ca"
"Chabazite-K","(K_2_NaCa_0.5_)Al_4_Si_8_O_24_·11H_2_O","(K_2_NaCa_0.5_)[Al_4_Si_8_O_24_]·11H_2_O","K Na Ca Al Si O H","","R120032","1385","Italy","1976","Approved","Chabazite","zeolite-chabazite series","Gennaro M, Franco E (1976) La K-cabasite di alcuni «tufi del Vesuvio», Rendiconti dell'Accademia Nazionale dei Lincei 60, 490-497

Chemical formula revised from K_2_Ca(Si_8_Al_4_)O_24_·12H_2_O:
Yakubovich O V, Massa W, Gavrilenko P G, Pekov I V (2005) Crystal structure of chabazite K, Crystallography Reports 50, 544-553","hexagonal|trigonal","1742","K Na Ca Al Si O H","Cbz-K"
"Chabazite-Mg","(Mg_0.7_K_0.5_Ca_0.5_Na_0.1_)Al_3_Si_9_O_24_·10H_2_O","(Mg_0.7_K_0.5_Ca_0.5_Na_0.1_)[Al_3_Si_9_O_24_]·10H_2_O","Mg K Ca Na Al Si O H","IMA2009-060","","5789","Hungary","2009","Approved","Chabazite"," ","Montagna G, Bigi S, Kónya P, Szakáll S, Vezzalini G (2010) Chabazite-Mg: A new natural zeolite of the chabazite series, American Mineralogist 95, 939-945","hexagonal","","Mg K Ca Na Al Si O H","Cbz-Mg"
"Chabazite-Na","(Na_3_K)Al_4_Si_8_O_24_·11H_2_O","(Na_3_K)[Al_4_Si_8_O_24_]·11H_2_O","Na K Al Si O H","","R061095 R070440","1386","Italy","1997","Approved","Chabazite","zeolite-chabazite series","Mineral described and called Na-chabazite:
Passaglia E (1970) The crystal chemistry of chabazites. American Mineralogist 55, 1278-1301

Name changed to chabazite-Na:
Coombs D S, Alberti A, Armbruster T, Artioli G, Colella C, Galli E, Grice J D, Liebau F, Mandarino J A, Minato H, Nickel E H, Passaglia E, Peacor D R, Quartieri S, Rinaldi R, Ross M, Sheppard R A, Tillmanns E, Vezzalini G, (1997) Recommended nomenclature for zeolite minerals: report of the subcommittee on zeolites of the international mineralogical association, commission on new minerals and mineral names, The Canadian Mineralogist 35, 1571-1606","hexagonal|trigonal, triclinic","2500","Na K Al Si O H","Cbz-Na"
"Chalcocite","Cu^1+^_2_S^2-^","Cu_2_S","Cu S","","R050067 R070730 R120090 R120113","1393","?","0","Grandfathered|Approved"," "," ","Mineral name, or its predecessor chalcitis, has been known since antiquity and predates any formal descriptive publication. Eg.
Hill J (1751) Of vitriolic minerals, in A History of the Materia Medica, Longman, Hitch and Hawes (London) 140-147","monoclinic|cubic","4000","Cu^1+ S^2-","Cc"
"Chalcopyrite","Cu^1+^Fe^3+^S^2-^_2_","CuFeS_2_","Cu Fe S","","R050018 R050208 R050222 R050559","1399","?","1725","Grandfathered|Approved","Chalcopyrite","chalcopyrite","Henckel J F (1725) Chalcopyrites. in Pyritologia, oder Kieβ Historie, Verlegts Johann Christian Martini (Leipzig) 114-115

Oxidation states determined in:
Pearce C I, Pattrick R A D, Vaughan D J, Henderson C M B, van der Laan G (2006) Copper oxidation state in chalcopyrite: Mixed Cu d<sup>9</sup> and d<sup>10</sup> characteristics, Geochimica et Cosmochimica Acta 70, 4635-4624","tetragonal|cubic","4000","Cu^1+ Fe^3+ S^2-","Ccp"
